Cohort,Burden_category,N,Positive_N,Unweighted_outcome_prevalence,Weighted_outcome_prevalence
RAW,0,12641,,,
RAW,1,8711,,,
RAW,2,5427,,,
RAW,3+,5613,,,
RAW,Missing/indeterminate,237,,,
MEDNG,0,12536,795,0.06341735800893426,0.06701078071104341
MEDNG,1,8651,615,0.07109004739336493,0.07848024027866884
MEDNG,2,5382,394,0.07320698625046451,0.08650668536544089
MEDNG,3+,5563,368,0.06615135718137695,0.07412585400030026
MEDNG,Missing/indeterminate,222,23,0.1036036036036036,0.08049240707869053
MEDDL,0,12540,977,0.07791068580542265,0.0802212999609464
MEDDL,1,8648,721,0.08337187789084181,0.08912386144748534
MEDDL,2,5381,437,0.08121167069317971,0.0953322256906606
MEDDL,3+,5564,408,0.07332854061826025,0.08723355823634563
MEDDL,Missing/indeterminate,222,21,0.0945945945945946,0.10113978288622638
