Variable,Concept,Domain,Tier,Observed_Codes,Special_Codes,Unexpected_Codes,Raw_Special_N,Raw_Special_Pct,MEDNG_Special_N,MEDNG_Special_Pct,MEDDL_Special_N,MEDDL_Special_Pct
AGEP_A,Age,Predisposing,Core,18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 97; 99,97; 98; 99,None,52,0.0015936743387783873,46,0.0014217716511096,47,0.0014526348323288518
SEX_A,Sex,Predisposing,Core,1; 2; 7; 9,7; 8; 9,None,5,0.00015323791719022955,5,0.00015454039685973913,5,0.00015453562046051616
HISPALLP_A,Race/ethnicity,Predisposing,Core,1; 2; 3; 4; 5; 6; 7,97; 98; 99,None,0,0.0,0,0.0,0,0.0
EDUCP_A,Education,Predisposing,Core/Supporting,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 97; 99,97; 98; 99,None,147,0.004505194765392749,141,0.004358039191444643,141,0.004357904496986555
MARSTAT_A,Marital status,Predisposing,Supporting,1; 2; 3; 4; 5; 6; 7; 8; 9,None,None,0,0.0,0,0.0,0,0.0
RATCAT_A,Income/Poverty,Enabling,Core,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14,98,None,0,0.0,0,0.0,0,0.0
EMPWRKLSW1_A,Employment,Enabling,Supporting,1; 2; 9,7; 8; 9,None,1219,0.03735940421097796,962,0.02973357235581381,966,0.02985628187297172
NOTCOV_A,Insurance,Enabling,Core,1; 2; 9,7; 8; 9,None,93,0.0028502252597382696,79,0.002441738270383878,78,0.002410755679184052
FDSCAT3_A,Food security,Enabling,Core,1; 2; 3; 8,8,None,1351,0.04140488522480002,1092,0.03375162267416703,1097,0.033905115129037246
REGION,Region,Enabling / contextual,Supporting,1; 2; 3; 4,None,None,0,0.0,0,0.0,0,0.0
URBRRL23,Urban-rural,Enabling / contextual,Supporting,1; 2; 3; 4,None,None,0,0.0,0,0.0,0,0.0
PHSTAT_A,General health,Need,Core,1; 2; 3; 4; 5; 7; 9,7; 8; 9,None,16,0.0004903613350087345,16,0.0004945292699511652,16,0.0004945139854736517
DISAB3_A,Disability,Need,Core/Supporting,1; 2; 9,9,None,1,3.064758343804591e-05,1,3.0908079371947826e-05,1,3.090712409210323e-05
DIBEV_A,Diabetes,Need,Supporting,1; 2; 7; 9,7; 8; 9,None,29,0.0008887799197033314,25,0.0007727019842986957,25,0.0007726781023025807
HYPEV_A,Hypertension,Need,Supporting,1; 2; 7; 9,7; 8; 9,None,52,0.0015936743387783873,45,0.0013908635717376522,45,0.0013908205841446453
BMICAT_A,BMI category,Need / proxy,Exploratory/Optional,1; 2; 3; 4; 9,9,None,600,0.018388550062827545,577,0.017833961797613897,580,0.017926131973419874
K6SPD_A,Serious psychological distress,Need - mental health,Core/Supporting,1; 2; 8,8,None,816,0.025008428085445462,548,0.01693762749582741,554,0.01712254674702519
ANXFREQ_A,Anxiety frequency,Need - mental health,Supporting,1; 2; 3; 4; 5; 7; 8; 9,7; 8; 9,None,612,0.0187563210640841,344,0.010632379303950052,349,0.010786586308144027
DEPFREQ_A,Depression frequency,Need - mental health,Core/Supporting,1; 2; 3; 4; 5; 7; 8; 9,7; 8; 9,None,639,0.019583805816911336,371,0.011466897446992644,377,0.011651985782722918
LONELY_A,Loneliness,Supplementary social context,Supporting/Exploratory,1; 2; 3; 4; 5; 7; 8; 9,7; 8; 9,None,1159,0.03552054920469521,893,0.02760091487914941,898,0.027754597434708702
SOCSCLPAR_A,Social participation difficulty,Supplementary social/functional,Exploratory,1; 2; 3; 4; 7; 9,7; 8; 9,None,21,0.0006435992521989641,17,0.0005254373493231131,18,0.0005563282336578582
SMKEV_A,Ever smoked 100 cigarettes,Supplementary health behavior,Exploratory/Optional,1; 2; 7; 8; 9,7; 8; 9,None,737,0.022587268993839837,472,0.014588613463559375,477,0.01474269819193324
