Grouping,Group,Outcome,Cohort_N,Valid_N,Positive_N,Unweighted_Prevalence,Weighted_Prevalence
Age,35–49,MEDNG12M_A,32354,7159,690,0.09638217628160357,0.09698490237426166
Age,50–64,MEDNG12M_A,32354,7689,653,0.08492651840291325,0.08307491987708601
Age,65+,MEDNG12M_A,32354,10835,246,0.022704199353945548,0.02223568849270372
Age,18–34,MEDNG12M_A,32354,6625,604,0.09116981132075472,0.08778485169008775
Age,35–49,MEDDL12M_A,32355,7162,775,0.10820999720748395,0.10776260252077033
Age,50–64,MEDDL12M_A,32355,7688,751,0.09768470343392299,0.0949801132814645
Age,65+,MEDDL12M_A,32355,10834,282,0.0260291674358501,0.026211105293115277
Age,18–34,MEDDL12M_A,32355,6624,754,0.11382850241545894,0.10714502764482345
Sex,Male,MEDNG12M_A,32354,14850,903,0.06080808080808081,0.0653004879519591
Sex,Female,MEDNG12M_A,32354,17499,1292,0.0738327904451683,0.08201138174409706
Sex,Male,MEDDL12M_A,32355,14852,1046,0.0704282251548613,0.07503348317936064
Sex,Female,MEDDL12M_A,32355,17498,1517,0.08669562235684078,0.09597963631147977
Race/ethnicity,NH White,MEDNG12M_A,32354,21631,1350,0.06241042947621469,0.0686556237860649
Race/ethnicity,NH Black,MEDNG12M_A,32354,3234,241,0.07452071737786023,0.08150051333562953
Race/ethnicity,NH Asian,MEDNG12M_A,32354,1851,62,0.03349540788762831,0.03521178600768578
Race/ethnicity,NH AIAN,MEDNG12M_A,32354,266,16,0.06015037593984962,0.06877304989856878
Race/ethnicity,Other/multiple,MEDNG12M_A,32354,408,54,0.1323529411764706,0.12579484072241504
Race/ethnicity,Hispanic,MEDNG12M_A,32354,4712,439,0.09316638370118846,0.09405666406186045
Race/ethnicity,NH AIAN + other,MEDNG12M_A,32354,252,33,0.13095238095238096,0.12678140053334888
Race/ethnicity,NH White,MEDDL12M_A,32355,21628,1664,0.07693730349546883,0.0852603500202698
Race/ethnicity,NH Black,MEDDL12M_A,32355,3237,246,0.07599629286376275,0.0866088708607198
Race/ethnicity,NH Asian,MEDDL12M_A,32355,1852,73,0.03941684665226782,0.037152102799849
Race/ethnicity,NH AIAN,MEDDL12M_A,32355,266,17,0.06390977443609022,0.07372793639403052
Race/ethnicity,Other/multiple,MEDDL12M_A,32355,408,58,0.14215686274509803,0.12678558930452333
Race/ethnicity,Hispanic,MEDDL12M_A,32355,4712,472,0.100169779286927,0.0995526531301533
Race/ethnicity,NH AIAN + other,MEDDL12M_A,32355,252,34,0.1349206349206349,0.12693951711220003
Poverty (adult file / imputation 1),≥200% FPL,MEDNG12M_A,32354,23235,1294,0.055691844200559504,0.06117652299319982
Poverty (adult file / imputation 1),100–199% FPL,MEDNG12M_A,32354,5735,548,0.0955536181342633,0.10495534153141899
Poverty (adult file / imputation 1),<100% FPL,MEDNG12M_A,32354,3384,353,0.1043144208037825,0.11214940425642081
Poverty (adult file / imputation 1),≥200% FPL,MEDDL12M_A,32355,23241,1616,0.06953229207004862,0.07472897501107098
Poverty (adult file / imputation 1),100–199% FPL,MEDDL12M_A,32355,5733,590,0.1029129600558172,0.11530035373047956
Poverty (adult file / imputation 1),<100% FPL,MEDDL12M_A,32355,3381,358,0.10588583259390713,0.11505432059333524
Insurance,Uninsured,MEDNG12M_A,32354,2295,561,0.24444444444444444,0.24808086924966496
Insurance,Insured,MEDNG12M_A,32354,29980,1625,0.05420280186791194,0.05625239210198764
Insurance,Uninsured,MEDDL12M_A,32355,2295,615,0.2679738562091503,0.267910448423174
Insurance,Insured,MEDDL12M_A,32355,29982,1941,0.06473884330598359,0.06749740881900566
Food security,Food secure,MEDNG12M_A,32354,28501,1421,0.04985789972281674,0.05463151888132151
Food security,Very low food security,MEDNG12M_A,32354,1189,353,0.2968881412952061,0.30347947901789823
Food security,Low food security,MEDNG12M_A,32354,1572,336,0.21374045801526717,0.22362454608014543
Food security,Food secure,MEDDL12M_A,32355,28499,1757,0.06165128601003544,0.06679969720807324
Food security,Very low food security,MEDDL12M_A,32355,1188,376,0.3164983164983165,0.3337544347202455
Food security,Low food security,MEDDL12M_A,32355,1571,340,0.21642266072565244,0.22333339503577376
Urban-rural,Nonmetropolitan,MEDNG12M_A,32354,7249,496,0.06842323079045386,0.07376370621502978
Urban-rural,Large fringe metro,MEDNG12M_A,32354,6780,419,0.06179941002949853,0.06595041825163474
Urban-rural,Medium/small metro,MEDNG12M_A,32354,9047,670,0.07405769868464684,0.08278506631495075
Urban-rural,Large central metro,MEDNG12M_A,32354,9278,610,0.06574692821728821,0.0718470608163569
Urban-rural,Nonmetropolitan,MEDDL12M_A,32355,7249,559,0.07711408470133811,0.08092782839921421
Urban-rural,Large fringe metro,MEDDL12M_A,32355,6778,500,0.07376807317792859,0.0793203333883195
Urban-rural,Medium/small metro,MEDDL12M_A,32355,9048,798,0.08819628647214854,0.099082965483394
Urban-rural,Large central metro,MEDDL12M_A,32355,9280,707,0.07618534482758621,0.08070146630255874
