Grouping,Group,Outcome,Cohort_N,Valid_N,Positive_N,Unweighted_Prevalence,Weighted_Prevalence,Fairness_role
Age,18–34,MEDNG12M_A,32354,6625,604,0.09116981132075472,0.08778485169008786,Primary
Age,35–49,MEDNG12M_A,32354,7159,690,0.09638217628160357,0.09698490237426147,Primary
Age,50–64,MEDNG12M_A,32354,7689,653,0.08492651840291325,0.08307491987708601,Primary
Age,65–74,MEDNG12M_A,32354,5951,176,0.029574861367837338,0.029042232656154608,Primary
Age,75+,MEDNG12M_A,32354,4884,70,0.014332514332514333,0.013650659397892324,Primary
Disability,Disability,MEDNG12M_A,32354,3709,426,0.11485575626853599,0.1277715403340815,Exploratory equity subgroup
Disability,No disability,MEDNG12M_A,32354,28644,1768,0.061723223013545596,0.06799937174742396,Exploratory equity subgroup
Age,18–34,MEDDL12M_A,32355,6624,754,0.11382850241545894,0.10714502764482361,Primary
Age,35–49,MEDDL12M_A,32355,7162,775,0.10820999720748395,0.10776260252077018,Primary
Age,50–64,MEDDL12M_A,32355,7688,751,0.09768470343392299,0.09498011328146437,Primary
Age,65–74,MEDDL12M_A,32355,5950,205,0.034453781512605045,0.03420167113725846,Primary
Age,75+,MEDDL12M_A,32355,4884,77,0.015765765765765764,0.016131643749822143,Primary
Disability,Disability,MEDDL12M_A,32355,3705,447,0.12064777327935222,0.1419767176440013,Exploratory equity subgroup
Disability,No disability,MEDDL12M_A,32355,28649,2116,0.07385947153478306,0.07968834291118287,Exploratory equity subgroup
