Outcome,Model,Training_weighting,Evaluation_weighting,Selected_probability,Locked_threshold,AUROC,AUPRC,Recall,Precision,F1,Specificity,Brier,Observed_prevalence,Mean_predicted_probability,Predicted_positive_rate
MEDNG,LR,Unweighted,Unweighted,Raw,0.1349999999999999,0.7942410308224905,0.3007181583801104,0.4406392694063927,0.27729885057471265,0.3403880070546737,0.9158722194346881,0.055476024339646206,0.06825619448340346,0.06799769042568968,0.10846189808321646
MEDNG,LR,Unweighted,WTFA_A,Raw,0.1349999999999999,0.79674374451312,0.3173907179532671,0.495535857670429,0.27477990823973775,0.35352592670694327,0.9004466099847556,0.05642375949959117,0.07073520223294323,0.07423121798870914,0.12756328994553356
MEDNG,LR,WTFA_A,Unweighted,Raw,0.1349999999999999,0.7936312099960211,0.299197428030215,0.4315068493150685,0.2669491525423729,0.3298429319371728,0.9131961866532865,0.055578748660150966,0.06825619448340346,0.06917803608655868,0.11033193080878916
MEDNG,LR,WTFA_A,WTFA_A,Raw,0.1349999999999999,0.7958010220396032,0.31541247463704225,0.48117357356665974,0.2690577123498637,0.34512946441281683,0.9004971490613086,0.05658779934405165,0.07073520223294323,0.07448822420828523,0.12650040669017423
MEDNG,RF,Unweighted,Unweighted,Raw,0.1099999999999999,0.8061850418626533,0.30499003800077684,0.541095890410959,0.2237960339943343,0.3166332665330661,0.8625188158554943,0.05641130620673,0.06825619448340346,0.06763621488491223,0.16503038803179054
MEDNG,RF,Unweighted,WTFA_A,Raw,0.1099999999999999,0.8064529218651224,0.3277842756105703,0.5832320139759648,0.2179550047283107,0.3173250025179301,0.840704919454789,0.05764761888289977,0.07073520223294323,0.07279130728004893,0.18928234526544913
MEDNG,RF,WTFA_A,Unweighted,Raw,0.1099999999999999,0.8060548296511152,0.3047893697988402,0.545662100456621,0.21966911764705882,0.3132372214941022,0.8580030105368791,0.05643113364622135,0.06825619448340346,0.06925773554001141,0.16954963378525792
MEDNG,RF,WTFA_A,WTFA_A,Raw,0.1099999999999999,0.8071594968861121,0.3258065510342967,0.5849750702808695,0.21667690288232724,0.3162234753609898,0.8390237577267684,0.057688813414057495,0.07073520223294323,0.073897047740877,0.19096788511888257
MEDNG,XGBoost,Unweighted,Unweighted,Raw,0.1849999999999999,0.808325524419181,0.3049280111390447,0.3995433789954338,0.31645569620253167,0.35317860746720486,0.9367787255393879,0.05526331901402843,0.06825619448340346,0.06828712288989298,0.08617734143680848
MEDNG,XGBoost,Unweighted,WTFA_A,Raw,0.1849999999999999,0.80905152157792,0.3151669116424983,0.4379480598738057,0.3104213124148651,0.36331901477959166,0.92594557392572,0.05669796127348241,0.07073520223294323,0.0735903569626868,0.09979451585237005
MEDNG,XGBoost,WTFA_A,Unweighted,Raw,0.1849999999999999,0.8061995523143788,0.302974123551128,0.3835616438356164,0.29422066549912435,0.3330029732408325,0.9325974243184479,0.05556885126694514,0.06825619448340346,0.06876516001372969,0.08898239052516753
MEDNG,XGBoost,WTFA_A,WTFA_A,Raw,0.1849999999999999,0.8073163143523681,0.3206530166465005,0.43018217089529237,0.29446299936502834,0.349613127952488,0.9215419366500794,0.05689857710273367,0.07073520223294323,0.07459762417371571,0.10333733922734377
MEDDL,LR,Unweighted,Unweighted,Platt,0.1599999999999999,0.7844607680353665,0.3167882812401599,0.42829827915869984,0.32558139534883723,0.3699421965317919,0.921302578018996,0.06514695179923942,0.08147686555538246,0.08170657239235694,0.10718180401931765
MEDDL,LR,Unweighted,WTFA_A,Platt,0.1599999999999999,0.7803025392116243,0.33654982288707114,0.46489137626575255,0.333925992755898,0.38867285655875533,0.9096322759116767,0.06977604686415412,0.08879820015169453,0.0874931155447167,0.12362475031591819
MEDDL,LR,WTFA_A,Unweighted,Platt,0.1599999999999999,0.7800107860661927,0.3154014176327006,0.4149139579349904,0.33129770992366414,0.3684210526315789,0.9257123473541384,0.06565272421841647,0.08147686555538246,0.08623985771491634,0.10204081632653061
MEDDL,LR,WTFA_A,WTFA_A,Platt,0.1599999999999999,0.7791668726410361,0.3368401338554485,0.4458178324119997,0.33832347245068933,0.3847026963296601,0.9150309760930592,0.0702961080773429,0.08879820015169453,0.09001667426387522,0.11701174862907347
MEDDL,RF,Unweighted,Unweighted,Platt,0.0799999999999999,0.7967178383244564,0.3106561299405058,0.6730401529636711,0.2064516129032258,0.31597845601436264,0.7705223880597015,0.06523875118375158,0.08147686555538246,0.0811470363287839,0.26561769746066366
MEDDL,RF,Unweighted,WTFA_A,Platt,0.0799999999999999,0.795102654229988,0.33856704548048844,0.6985159272316318,0.21062672960955686,0.32365905224197655,0.7448856787154742,0.06968133673874348,0.08879820015169453,0.08842404741132914,0.2944875858369997
MEDDL,RF,WTFA_A,Unweighted,Platt,0.0799999999999999,0.7965445024140552,0.31091255922797206,0.7093690248565966,0.19413919413919414,0.30484798685291703,0.7388059701492538,0.0654345614663222,0.08147686555538246,0.08412236578963805,0.29770992366412213
MEDDL,RF,WTFA_A,WTFA_A,Platt,0.0799999999999999,0.795378930408112,0.338422614788405,0.730764541408492,0.2000114668432632,0.3140632903048002,0.7151633118974379,0.0699789944858589,0.08879820015169453,0.08989540615277326,0.32443427887363757
MEDDL,XGBoost,Unweighted,Unweighted,Platt,0.1399999999999999,0.803648680377013,0.31516343360512417,0.5200764818355641,0.28601472134595163,0.36906377204884666,0.8848371777476255,0.06491495979853423,0.08147686555538246,0.08113879868972727,0.14815391805577194
MEDDL,XGBoost,Unweighted,WTFA_A,Platt,0.1399999999999999,0.8016429683496495,0.32930025115608813,0.5325850030682555,0.2923443467382042,0.3774825440289709,0.8743663990590675,0.06993301417316877,0.08879820015169453,0.08560433983999247,0.16177015299904712
MEDDL,XGBoost,WTFA_A,Unweighted,Platt,0.1399999999999999,0.801244191868746,0.3045206639186578,0.5219885277246654,0.26427879961277834,0.3508997429305913,0.8710990502035278,0.06532205829955234,0.08147686555538246,0.08674316672655503,0.1609284935348185
MEDDL,XGBoost,WTFA_A,WTFA_A,Platt,0.1399999999999999,0.7979911012254537,0.31338649219537107,0.529988773055165,0.26784302867118465,0.3558489341479262,0.8588177435067034,0.07050733920213338,0.08879820015169453,0.0907999353722585,0.17570757537124057
