Outcome,Model,Comparison,Metric,Before,After,Absolute_delta
MEDDL,LR,Evaluation_weighting_effect,AUROC,0.7844607680353665,0.7803025392116243,-0.004158228823742172
MEDDL,LR,Evaluation_weighting_effect,AUPRC,0.3167882812401599,0.33654982288707114,0.01976154164691124
MEDDL,LR,Evaluation_weighting_effect,Recall,0.42829827915869984,0.46489137626575255,0.03659309710705272
MEDDL,LR,Evaluation_weighting_effect,Precision,0.32558139534883723,0.333925992755898,0.008344597407060783
MEDDL,LR,Evaluation_weighting_effect,F1,0.3699421965317919,0.38867285655875533,0.01873066002696344
MEDDL,LR,Evaluation_weighting_effect,Specificity,0.921302578018996,0.9096322759116767,-0.01167030210731923
MEDDL,LR,Evaluation_weighting_effect,Brier,0.06514695179923942,0.06977604686415412,0.004629095064914698
MEDDL,LR,Evaluation_weighting_effect,Observed_prevalence,0.08147686555538246,0.08879820015169453,0.007321334596312068
MEDDL,LR,Evaluation_weighting_effect,Mean_predicted_probability,0.08170657239235694,0.0874931155447167,0.005786543152359755
MEDDL,LR,Evaluation_weighting_effect,Predicted_positive_rate,0.10718180401931765,0.12362475031591819,0.016442946296600536
MEDDL,LR,Training_weighting_effect,AUROC,0.7803025392116243,0.7791668726410361,-0.0011356665705881674
MEDDL,LR,Training_weighting_effect,AUPRC,0.33654982288707114,0.3368401338554485,0.0002903109683773386
MEDDL,LR,Training_weighting_effect,Recall,0.46489137626575255,0.4458178324119997,-0.019073543853752872
MEDDL,LR,Training_weighting_effect,Precision,0.333925992755898,0.33832347245068933,0.0043974796947913175
MEDDL,LR,Training_weighting_effect,F1,0.38867285655875533,0.3847026963296601,-0.003970160229095243
MEDDL,LR,Training_weighting_effect,Specificity,0.9096322759116767,0.9150309760930592,0.005398700181382443
MEDDL,LR,Training_weighting_effect,Brier,0.06977604686415412,0.0702961080773429,0.0005200612131887883
MEDDL,LR,Training_weighting_effect,Observed_prevalence,0.08879820015169453,0.08879820015169453,0.0
MEDDL,LR,Training_weighting_effect,Mean_predicted_probability,0.0874931155447167,0.09001667426387522,0.0025235587191585196
MEDDL,LR,Training_weighting_effect,Predicted_positive_rate,0.12362475031591819,0.11701174862907347,-0.006613001686844713
MEDDL,LR,Combined_weighting_effect,AUROC,0.7844607680353665,0.7791668726410361,-0.005293895394330339
MEDDL,LR,Combined_weighting_effect,AUPRC,0.3167882812401599,0.3368401338554485,0.02005185261528858
MEDDL,LR,Combined_weighting_effect,Recall,0.42829827915869984,0.4458178324119997,0.017519553253299847
MEDDL,LR,Combined_weighting_effect,Precision,0.32558139534883723,0.33832347245068933,0.0127420771018521
MEDDL,LR,Combined_weighting_effect,F1,0.3699421965317919,0.3847026963296601,0.014760499797868198
MEDDL,LR,Combined_weighting_effect,Specificity,0.921302578018996,0.9150309760930592,-0.006271601925936787
MEDDL,LR,Combined_weighting_effect,Brier,0.06514695179923942,0.0702961080773429,0.005149156278103487
MEDDL,LR,Combined_weighting_effect,Observed_prevalence,0.08147686555538246,0.08879820015169453,0.007321334596312068
MEDDL,LR,Combined_weighting_effect,Mean_predicted_probability,0.08170657239235694,0.09001667426387522,0.008310101871518275
MEDDL,LR,Combined_weighting_effect,Predicted_positive_rate,0.10718180401931765,0.11701174862907347,0.009829944609755822
MEDDL,RF,Evaluation_weighting_effect,AUROC,0.7967178383244564,0.795102654229988,-0.0016151840944683693
MEDDL,RF,Evaluation_weighting_effect,AUPRC,0.3106561299405058,0.33856704548048844,0.02791091553998265
MEDDL,RF,Evaluation_weighting_effect,Recall,0.6730401529636711,0.6985159272316318,0.02547577426796066
MEDDL,RF,Evaluation_weighting_effect,Precision,0.2064516129032258,0.21062672960955686,0.004175116706331056
MEDDL,RF,Evaluation_weighting_effect,F1,0.31597845601436264,0.32365905224197655,0.007680596227613912
MEDDL,RF,Evaluation_weighting_effect,Specificity,0.7705223880597015,0.7448856787154742,-0.02563670934422735
MEDDL,RF,Evaluation_weighting_effect,Brier,0.06523875118375158,0.06968133673874348,0.0044425855549918986
MEDDL,RF,Evaluation_weighting_effect,Observed_prevalence,0.08147686555538246,0.08879820015169453,0.007321334596312068
MEDDL,RF,Evaluation_weighting_effect,Mean_predicted_probability,0.0811470363287839,0.08842404741132914,0.007277011082545248
MEDDL,RF,Evaluation_weighting_effect,Predicted_positive_rate,0.26561769746066366,0.2944875858369997,0.028869888376336028
MEDDL,RF,Training_weighting_effect,AUROC,0.795102654229988,0.795378930408112,0.00027627617812397975
MEDDL,RF,Training_weighting_effect,AUPRC,0.33856704548048844,0.338422614788405,-0.0001444306920834193
MEDDL,RF,Training_weighting_effect,Recall,0.6985159272316318,0.730764541408492,0.0322486141768602
MEDDL,RF,Training_weighting_effect,Precision,0.21062672960955686,0.2000114668432632,-0.010615262766293654
MEDDL,RF,Training_weighting_effect,F1,0.32365905224197655,0.3140632903048002,-0.009595761937176372
MEDDL,RF,Training_weighting_effect,Specificity,0.7448856787154742,0.7151633118974379,-0.029722366818036305
MEDDL,RF,Training_weighting_effect,Brier,0.06968133673874348,0.0699789944858589,0.0002976577471154179
MEDDL,RF,Training_weighting_effect,Observed_prevalence,0.08879820015169453,0.08879820015169453,0.0
MEDDL,RF,Training_weighting_effect,Mean_predicted_probability,0.08842404741132914,0.08989540615277326,0.0014713587414441204
MEDDL,RF,Training_weighting_effect,Predicted_positive_rate,0.2944875858369997,0.32443427887363757,0.029946693036637884
MEDDL,RF,Combined_weighting_effect,AUROC,0.7967178383244564,0.795378930408112,-0.0013389079163443895
MEDDL,RF,Combined_weighting_effect,AUPRC,0.3106561299405058,0.338422614788405,0.02776648484789923
MEDDL,RF,Combined_weighting_effect,Recall,0.6730401529636711,0.730764541408492,0.05772438844482086
MEDDL,RF,Combined_weighting_effect,Precision,0.2064516129032258,0.2000114668432632,-0.006440146059962598
MEDDL,RF,Combined_weighting_effect,F1,0.31597845601436264,0.3140632903048002,-0.0019151657095624608
MEDDL,RF,Combined_weighting_effect,Specificity,0.7705223880597015,0.7151633118974379,-0.055359076162263654
MEDDL,RF,Combined_weighting_effect,Brier,0.06523875118375158,0.0699789944858589,0.0047402433021073165
MEDDL,RF,Combined_weighting_effect,Observed_prevalence,0.08147686555538246,0.08879820015169453,0.007321334596312068
MEDDL,RF,Combined_weighting_effect,Mean_predicted_probability,0.0811470363287839,0.08989540615277326,0.008748369823989369
MEDDL,RF,Combined_weighting_effect,Predicted_positive_rate,0.26561769746066366,0.32443427887363757,0.05881658141297391
MEDDL,XGBoost,Evaluation_weighting_effect,AUROC,0.803648680377013,0.8016429683496495,-0.0020057120273634377
