Outcome,Model,Training_weighting,Evaluation_weighting,Metric,Point_estimate,CI95_lower,CI95_upper,Valid_replicates,Requested_replicates
MEDNG,LR,Unweighted,WTFA_A,AUROC,0.79674374451312,0.7690612011583448,0.8214630738488035,400,400
MEDNG,LR,Unweighted,WTFA_A,AUPRC,0.3173907179532671,0.26046382296889486,0.3780820902140773,400,400
MEDNG,LR,Unweighted,WTFA_A,Brier,0.05642375949959117,0.0511269146069098,0.0612887529218321,400,400
MEDNG,LR,WTFA_A,WTFA_A,AUROC,0.7958010220396032,0.7675166919507347,0.8208259805430145,400,400
MEDNG,LR,WTFA_A,WTFA_A,AUPRC,0.31541247463704225,0.2576255225613576,0.3756761279846948,400,400
MEDNG,LR,WTFA_A,WTFA_A,Brier,0.05658779934405165,0.05141852763619211,0.06140423516346037,400,400
MEDNG,RF,Unweighted,WTFA_A,AUROC,0.8064529218651224,0.7829682338290221,0.829426386882028,400,400
MEDNG,RF,Unweighted,WTFA_A,AUPRC,0.3277842756105703,0.2717240909176097,0.38361222867256084,400,400
MEDNG,RF,Unweighted,WTFA_A,Brier,0.05764761888289977,0.052704799411514465,0.06250743456107792,400,400
MEDNG,RF,WTFA_A,WTFA_A,AUROC,0.8071594968861121,0.7833873936513956,0.8303978848560437,400,400
MEDNG,RF,WTFA_A,WTFA_A,AUPRC,0.3258065510342967,0.27364996491997157,0.37807998920604513,400,400
MEDNG,RF,WTFA_A,WTFA_A,Brier,0.057688813414057495,0.05267439047118738,0.06249353869213259,400,400
MEDNG,XGBoost,Unweighted,WTFA_A,AUROC,0.80905152157792,0.786174982543427,0.8310785941849069,400,400
MEDNG,XGBoost,Unweighted,WTFA_A,AUPRC,0.3151669116424983,0.2625064786643064,0.36787528394044466,400,400
MEDNG,XGBoost,Unweighted,WTFA_A,Brier,0.05669796127348241,0.051596562197638945,0.06181435244766798,400,400
MEDNG,XGBoost,WTFA_A,WTFA_A,AUROC,0.8073163143523681,0.7827659540550961,0.8307748977686843,400,400
MEDNG,XGBoost,WTFA_A,WTFA_A,AUPRC,0.3206530166465005,0.27056724059226844,0.37342888772198035,400,400
MEDNG,XGBoost,WTFA_A,WTFA_A,Brier,0.05689857710273367,0.05166446613173354,0.061862124826154434,400,400
MEDDL,LR,Unweighted,WTFA_A,AUROC,0.7803025392116243,0.7513949083066649,0.8092273583047271,400,400
MEDDL,LR,Unweighted,WTFA_A,AUPRC,0.33654982288707114,0.2860503981510113,0.39516041560069687,400,400
MEDDL,LR,Unweighted,WTFA_A,Brier,0.06977604686415412,0.0641968268185591,0.07634513939269033,400,400
MEDDL,LR,WTFA_A,WTFA_A,AUROC,0.7791668726410361,0.749668021546109,0.8081342310604205,400,400
MEDDL,LR,WTFA_A,WTFA_A,AUPRC,0.3368401338554485,0.2860839907276856,0.393419153237593,400,400
MEDDL,LR,WTFA_A,WTFA_A,Brier,0.0702961080773429,0.06479369318737321,0.07671291466861575,400,400
MEDDL,RF,Unweighted,WTFA_A,AUROC,0.795102654229988,0.7705553098919964,0.820742674140045,400,400
MEDDL,RF,Unweighted,WTFA_A,AUPRC,0.33856704548048844,0.2874396266647709,0.39150137968491844,400,400
MEDDL,RF,Unweighted,WTFA_A,Brier,0.06968133673874348,0.06428104260277527,0.07609295084548305,400,400
MEDDL,RF,WTFA_A,WTFA_A,AUROC,0.795378930408112,0.7718206950741368,0.8211586243458493,400,400
MEDDL,RF,WTFA_A,WTFA_A,AUPRC,0.338422614788405,0.286883053486431,0.3897324240543544,400,400
MEDDL,RF,WTFA_A,WTFA_A,Brier,0.0699789944858589,0.06428161397246429,0.07632845501259035,400,400
MEDDL,XGBoost,Unweighted,WTFA_A,AUROC,0.8016429683496495,0.7767498322606491,0.8270101486033287,400,400
MEDDL,XGBoost,Unweighted,WTFA_A,AUPRC,0.32930025115608813,0.2803878865885287,0.38334292107492957,400,400
MEDDL,XGBoost,Unweighted,WTFA_A,Brier,0.06993301417316877,0.0642185927361922,0.07624729536335279,400,400
MEDDL,XGBoost,WTFA_A,WTFA_A,AUROC,0.7979911012254537,0.7730174320648844,0.8232739075587009,400,400
MEDDL,XGBoost,WTFA_A,WTFA_A,AUPRC,0.31338649219537107,0.26923909285128883,0.3653260831964211,400,400
MEDDL,XGBoost,WTFA_A,WTFA_A,Brier,0.07050733920213338,0.06482112307528219,0.07719948423779392,400,400
