Outcome,Model,Feature_construct,Explained_output,Level,N,Weighted_mean_SHAP,Weighted_mean_abs_SHAP,Weight_sum
MEDNG,LR,SEX_A,base_estimator_log_odds,Missing/special,1,0.027705442340226746,0.027705442340226746,4611.755
MEDNG,LR,SEX_A,base_estimator_log_odds,code_1,2958,-0.12860659424673146,0.12860659424673146,24662417.391999997
MEDNG,LR,SEX_A,base_estimator_log_odds,code_2,3458,0.10437637218168269,0.10437637218168269,25582858.346
MEDNG,LR,HISPALLP_A,base_estimator_log_odds,code_1,935,-0.011881530443870277,0.011881530443870277,9073456.936
MEDNG,LR,HISPALLP_A,base_estimator_log_odds,code_2,4242,0.04301672063007659,0.04301672063007659,30279142.281999998
MEDNG,LR,HISPALLP_A,base_estimator_log_odds,code_3,670,-0.08391555917638469,0.08391555917638469,6129295.214
MEDNG,LR,HISPALLP_A,base_estimator_log_odds,code_4,384,-0.47921000360646565,0.47921000360646565,3311289.384
MEDNG,LR,HISPALLP_A,base_estimator_log_odds,code_5,43,-0.9544481645653736,0.9544481645653736,289909.742
MEDNG,LR,HISPALLP_A,base_estimator_log_odds,code_6,66,0.10367289237368404,0.10367289237368404,434208.203
MEDNG,LR,HISPALLP_A,base_estimator_log_odds,code_7,77,0.41020791088614533,0.41020791088614533,732585.7319999998
MEDNG,LR,EDUCP_A,base_estimator_log_odds,Missing/special,32,-0.13598503040234156,0.13598503040234156,363870.308
MEDNG,LR,EDUCP_A,base_estimator_log_odds,code_1,440,-0.34714051401614465,0.34714051401614465,4132990.264
MEDNG,LR,EDUCP_A,base_estimator_log_odds,code_10,249,-0.3044165973416885,0.3044165973416885,1652957.372
MEDNG,LR,EDUCP_A,base_estimator_log_odds,code_2,116,-0.14373128667345536,0.14373128667345536,1212495.1609999998
MEDNG,LR,EDUCP_A,base_estimator_log_odds,code_3,147,0.040122768822068736,0.040122768822068736,1130892.3709999998
MEDNG,LR,EDUCP_A,base_estimator_log_odds,code_4,1492,-0.2987999971200867,0.2987999971200867,12661956.002
MEDNG,LR,EDUCP_A,base_estimator_log_odds,code_5,922,0.20370709499272185,0.20370709499272185,7571497.71
MEDNG,LR,EDUCP_A,base_estimator_log_odds,code_6,276,0.023086133460413813,0.023086133460413813,2050406.017
MEDNG,LR,EDUCP_A,base_estimator_log_odds,code_7,577,0.2803332735952582,0.2803332735952582,4617930.43
MEDNG,LR,EDUCP_A,base_estimator_log_odds,code_8,1467,0.11399407806262048,0.11399407806262048,10085253.465
MEDNG,LR,EDUCP_A,base_estimator_log_odds,code_9,699,0.20144264112216897,0.20144264112216897,4769638.392999999
MEDNG,LR,RATCAT_A,base_estimator_log_odds,code_1,188,0.1888131464080662,0.1888131464080662,1438230.0329999998
MEDNG,LR,RATCAT_A,base_estimator_log_odds,code_10,470,0.29718839777162254,0.29718839777162254,3697012.5979999998
