Outcome,Model,Split,Explained_output,Feature_1,Feature_2,Mean_abs_interaction_SHAP,Mean_signed_interaction_SHAP,N_interaction_screen,Rank
MEDNG,RF,locked_test,base_estimator_positive_class_probability,EMPWRKLSW1_A,FDSCAT3_A,0.0010346384190804492,0.00017851857715858445,100,1
MEDNG,RF,locked_test,base_estimator_positive_class_probability,AGEP_A,DISAB3_A,0.0008785903815103604,-0.00022872804666629502,100,2
MEDNG,RF,locked_test,base_estimator_positive_class_probability,NOTCOV_A,CHRONIC_BURDEN_CAT,0.0008639113654652338,-0.00023811614231669903,100,3
MEDNG,RF,locked_test,base_estimator_positive_class_probability,NOTCOV_A,FDSCAT3_A,0.0008288362582270356,-4.823693626960561e-05,100,4
MEDNG,RF,locked_test,base_estimator_positive_class_probability,AGEP_A,EMPWRKLSW1_A,0.000734067153028948,-0.0001779821507199164,100,5
MEDNG,RF,locked_test,base_estimator_positive_class_probability,EMPWRKLSW1_A,PHSTAT_A,0.0006672892141317447,-0.00022735976937353887,100,6
MEDNG,RF,locked_test,base_estimator_positive_class_probability,AGEP_A,PHSTAT_A,0.0006626711350670059,-9.701145958880498e-05,100,7
MEDNG,RF,locked_test,base_estimator_positive_class_probability,FDSCAT3_A,K6SPD_A,0.0006340124177686126,-0.0001773357917596174,100,8
MEDNG,RF,locked_test,base_estimator_positive_class_probability,RATCAT_A,EMPWRKLSW1_A,0.0005500047704286997,-7.526074584446619e-05,100,9
MEDNG,RF,locked_test,base_estimator_positive_class_probability,RATCAT_A,FDSCAT3_A,0.0005198797559754289,-2.7286131005401666e-05,100,10
MEDNG,RF,locked_test,base_estimator_positive_class_probability,FDSCAT3_A,PHSTAT_A,0.00048488171920285173,-4.2448128946000407e-05,100,11
MEDNG,RF,locked_test,base_estimator_positive_class_probability,AGEP_A,FDSCAT3_A,0.00048090715559760894,3.028384958291495e-05,100,12
MEDNG,RF,locked_test,base_estimator_positive_class_probability,NOTCOV_A,PHSTAT_A,0.00042022340531738323,0.00014763327773416253,100,13
MEDNG,RF,locked_test,base_estimator_positive_class_probability,EMPWRKLSW1_A,DISAB3_A,0.000399069658288024,-0.00019265016023963349,100,14
MEDNG,RF,locked_test,base_estimator_positive_class_probability,FDSCAT3_A,DISAB3_A,0.0003646368377541572,-0.00016077990902634072,100,15
MEDNG,RF,locked_test,base_estimator_positive_class_probability,HISPALLP_A,FDSCAT3_A,0.00036217979483087805,-4.101808618795031e-05,100,16
MEDNG,RF,locked_test,base_estimator_positive_class_probability,AGEP_A,RATCAT_A,0.00033569230534879883,-7.992000763654418e-05,100,17
MEDNG,RF,locked_test,base_estimator_positive_class_probability,AGEP_A,CHRONIC_BURDEN_CAT,0.0003300063705058582,-0.00016969759064234955,100,18
MEDNG,RF,locked_test,base_estimator_positive_class_probability,EMPWRKLSW1_A,CHRONIC_BURDEN_CAT,0.0003152835379411476,-8.352056876410434e-05,100,19
MEDNG,RF,locked_test,base_estimator_positive_class_probability,RATCAT_A,PHSTAT_A,0.00031050653956842146,7.439263638880658e-05,100,20
