Outcome,Model,Subgroup,Level,N,Reason
MEDNG,LR,HISPALLP_A,code_5,43,N < 100
MEDNG,LR,HISPALLP_A,code_6,66,N < 100
MEDNG,LR,HISPALLP_A,code_7,77,N < 100
MEDNG,LR,NOTCOV_A,Missing/special,19,N < 100
MEDNG,LR,SEX_A,Missing/special,1,N < 100
MEDNG,LR,AGE_GROUP,Missing/special,14,N < 100
MEDNG,RF,HISPALLP_A,code_5,43,N < 100
MEDNG,RF,HISPALLP_A,code_6,66,N < 100
MEDNG,RF,HISPALLP_A,code_7,77,N < 100
MEDNG,RF,NOTCOV_A,Missing/special,19,N < 100
MEDNG,RF,SEX_A,Missing/special,1,N < 100
MEDNG,RF,AGE_GROUP,Missing/special,14,N < 100
MEDNG,XGBoost,HISPALLP_A,code_5,43,N < 100
MEDNG,XGBoost,HISPALLP_A,code_6,66,N < 100
MEDNG,XGBoost,HISPALLP_A,code_7,77,N < 100
MEDNG,XGBoost,NOTCOV_A,Missing/special,19,N < 100
MEDNG,XGBoost,SEX_A,Missing/special,1,N < 100
MEDNG,XGBoost,AGE_GROUP,Missing/special,14,N < 100
MEDDL,LR,HISPALLP_A,code_5,43,N < 100
MEDDL,LR,HISPALLP_A,code_6,66,N < 100
MEDDL,LR,HISPALLP_A,code_7,77,N < 100
MEDDL,LR,NOTCOV_A,Missing/special,19,N < 100
MEDDL,LR,SEX_A,Missing/special,1,N < 100
MEDDL,LR,AGE_GROUP,Missing/special,14,N < 100
MEDDL,RF,HISPALLP_A,code_5,43,N < 100
MEDDL,RF,HISPALLP_A,code_6,66,N < 100
MEDDL,RF,HISPALLP_A,code_7,77,N < 100
MEDDL,RF,NOTCOV_A,Missing/special,19,N < 100
MEDDL,RF,SEX_A,Missing/special,1,N < 100
MEDDL,RF,AGE_GROUP,Missing/special,14,N < 100
MEDDL,XGBoost,HISPALLP_A,code_5,43,N < 100
MEDDL,XGBoost,HISPALLP_A,code_6,66,N < 100
MEDDL,XGBoost,HISPALLP_A,code_7,77,N < 100
MEDDL,XGBoost,NOTCOV_A,Missing/special,19,N < 100
MEDDL,XGBoost,SEX_A,Missing/special,1,N < 100
MEDDL,XGBoost,AGE_GROUP,Missing/special,14,N < 100
