Outcome,Model,Evaluation_weighting,Axis,Metric,Point_estimate,CI95_lower,CI95_upper,Valid_replicates,Requested_replicates
MEDNG,LR,Unweighted,Race_ethnicity,AUPRC,0.13667640418444302,0.03410987944656783,0.28654952215189644,400,400
MEDNG,LR,Unweighted,Race_ethnicity,AUROC,0.0890551387403371,0.01655158496758824,0.20051459257655693,400,400
MEDNG,LR,Unweighted,Race_ethnicity,Recall,0.2272404298783196,0.13094031531531536,0.36530844075253566,400,400
MEDNG,LR,Unweighted,Race_ethnicity,FNR,0.2272404298783196,0.1309403153153153,0.3653084407525356,400,400
MEDNG,LR,Unweighted,Race_ethnicity,FPR,0.1011905746566877,0.07561914996601926,0.12915844715795044,400,400
MEDNG,LR,Unweighted,Race_ethnicity,Brier,0.012762437022544516,0.00466503634762738,0.028147360817558194,400,400
MEDNG,LR,Unweighted,Race_ethnicity,Calibration_abs_error,0.006938563474386351,0.0026749957155512453,0.026144255484178067,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,AUPRC,0.1827313845595372,0.03745857589193204,0.36812020332154355,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,AUROC,0.09695666749314125,0.017341650298058547,0.2179399372981795,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,Recall,0.2644073092222457,0.15324383150121845,0.41566082657380726,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,FNR,0.2644073092222456,0.15324383150121842,0.4156608265738072,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,FPR,0.10559472617182622,0.07478293025426545,0.13864388886695256,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,Brier,0.018204323248499972,0.003720212905658827,0.037963647592886694,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,Calibration_abs_error,0.022658755144570664,0.007116250660817942,0.04201270570278091,400,400
MEDNG,LR,Unweighted,Poverty,AUPRC,0.05778618502905197,0.0216001740255351,0.17196068752046875,400,400
MEDNG,LR,Unweighted,Poverty,AUROC,0.10764148738536472,0.04664523485336504,0.18302569499129542,400,400
MEDNG,LR,Unweighted,Poverty,Recall,0.15322383791888972,0.07002443183751236,0.26283570950504087,400,400
MEDNG,LR,Unweighted,Poverty,FNR,0.15322383791888972,0.07002443183751225,0.2628357095050408,400,400
MEDNG,LR,Unweighted,Poverty,FPR,0.1051936553870819,0.08715206398141502,0.1286362866540482,400,400
