Outcome,Model,Evaluation_weighting,Axis,Metric,Minimum_group,Minimum,Maximum_group,Maximum,Max_minus_min,Eligible_groups_N,Interpretation
MEDNG,LR,Unweighted,Race_ethnicity,AUPRC,NH Black,0.22712656926786876,Hispanic,0.3638029734523118,0.13667640418444302,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Race_ethnicity,AUROC,NH Black,0.7197603121516165,Hispanic,0.8088154508919536,0.0890551387403371,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Race_ethnicity,Recall,NH White,0.3776978417266187,Hispanic,0.6049382716049383,0.2272404298783196,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,LR,Unweighted,Race_ethnicity,FNR,Hispanic,0.3950617283950617,NH White,0.6223021582733813,0.2272404298783196,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Race_ethnicity,FPR,NH White,0.06508577194752775,Hispanic,0.16627634660421545,0.1011905746566877,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Race_ethnicity,Brier,NH White,0.053843979077094824,Hispanic,0.06660641609963934,0.012762437022544516,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Race_ethnicity,Calibration_abs_error,NH White,0.004571174787342487,Hispanic,0.011509738261728839,0.006938563474386351,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Race_ethnicity,AUPRC,NH Black,0.21613912016126074,Hispanic,0.39887050472079794,0.1827313845595372,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Race_ethnicity,AUROC,NH Black,0.7211787459514261,Hispanic,0.8181354134445673,0.09695666749314125,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Race_ethnicity,Recall,NH White,0.40643341018195495,Hispanic,0.6708407194042006,0.2644073092222457,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,LR,WTFA_A,Race_ethnicity,FNR,Hispanic,0.3291592805957995,NH White,0.5935665898180451,0.2644073092222456,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Race_ethnicity,FPR,NH White,0.07403732117159251,Hispanic,0.17963204734341873,0.10559472617182622,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Race_ethnicity,Brier,NH White,0.05425736779789394,Hispanic,0.07246169104639391,0.018204323248499972,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Race_ethnicity,Calibration_abs_error,NH White,0.0026526557670479567,NH Black,0.02531141091161862,0.022658755144570664,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Poverty,AUPRC,>=200% FPL,0.28915798615056104,100-199% FPL,0.346944171179613,0.05778618502905197,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Poverty,AUROC,<100% FPL,0.7022183954619126,>=200% FPL,0.8098598828472773,0.10764148738536472,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Poverty,Recall,>=200% FPL,0.38396624472573837,100-199% FPL,0.5371900826446281,0.15322383791888972,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,LR,Unweighted,Poverty,FNR,100-199% FPL,0.4628099173553719,>=200% FPL,0.6160337552742616,0.15322383791888972,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Poverty,FPR,>=200% FPL,0.05615900161774902,100-199% FPL,0.16135265700483092,0.1051936553870819,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Poverty,Brier,>=200% FPL,0.042820035555752596,<100% FPL,0.09447436596534341,0.05165433040959081,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Poverty,Calibration_abs_error,>=200% FPL,0.003924157224664035,<100% FPL,0.01946654908124279,0.015542391856578755,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Poverty,AUPRC,>=200% FPL,0.27802304447091625,100-199% FPL,0.40423690814453456,0.1262138636736183,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Poverty,AUROC,<100% FPL,0.7324062957294626,>=200% FPL,0.7999786822710511,0.06757238654158848,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Poverty,Recall,>=200% FPL,0.42623739312650855,100-199% FPL,0.5874898014065127,0.1612524082800042,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,LR,WTFA_A,Poverty,FNR,100-199% FPL,0.41251019859348714,>=200% FPL,0.5737626068734915,0.1612524082800043,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Poverty,FPR,>=200% FPL,0.07075209005341562,100-199% FPL,0.18945430941390842,0.1187022193604928,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Poverty,Brier,>=200% FPL,0.044210344824711784,<100% FPL,0.09092158360177273,0.046711238777060946,3,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Poverty,Calibration_abs_error,100-199% FPL,0.005264961478641916,<100% FPL,0.008547890451201343,0.0032829289725594263,3,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Insurance,AUPRC,Insured,0.20396488591060685,Uninsured,0.513065584557025,0.30910069864641815,2,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Insurance,AUROC,Uninsured,0.7317393959321715,Insured,0.7589586730531149,0.027219277120943408,2,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Insurance,Recall,Insured,0.28343949044585987,Uninsured,0.8442622950819673,0.5608228046361075,2,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,LR,Unweighted,Insurance,FNR,Uninsured,0.1557377049180328,Insured,0.7165605095541401,0.5608228046361072,2,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Insurance,FPR,Insured,0.05255656511669339,Uninsured,0.5845272206303725,0.5319706555136792,2,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Insurance,Brier,Insured,0.046653777939554116,Uninsured,0.16520087614748638,0.11854709820793227,2,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Insurance,Calibration_abs_error,Insured,0.0013595420168553904,Uninsured,0.021864412039532877,0.020504870022677486,2,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Insurance,AUPRC,Insured,0.1968416839359609,Uninsured,0.5184241656933047,0.32158248175734383,2,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Insurance,AUROC,Insured,0.7490397465213012,Uninsured,0.7574544628117319,0.008414716290430668,2,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Insurance,Recall,Insured,0.29695398281957336,Uninsured,0.8808703135345298,0.5839163307149564,2,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,LR,WTFA_A,Insurance,FNR,Uninsured,0.11912968646547012,Insured,0.7030460171804266,0.5839163307149564,2,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Insurance,FPR,Insured,0.059329379116134395,Uninsured,0.5851604219384688,0.5258310428223345,2,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Insurance,Brier,Insured,0.04508245441900089,Uninsured,0.16111119162319568,0.11602873720419479,2,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Insurance,Calibration_abs_error,Insured,0.005655067562474914,Uninsured,0.015586866052253928,0.009931798489779015,2,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Sex,AUPRC,Male,0.2868951783072135,Female,0.30859133885632234,0.021696160549108834,2,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Sex,AUROC,Male,0.7899539844926333,Female,0.7947928949804536,0.004838910487820258,2,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Sex,Recall,Male,0.41899441340782123,Female,0.4555984555984556,0.036604042190634345,2,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,LR,Unweighted,Sex,FNR,Female,0.5444015444015444,Male,0.5810055865921788,0.0366040421906344,2,Descriptive between-group max-minus-min span
MEDNG,LR,Unweighted,Sex,FPR,Male,0.06908960057574667,Female,0.09690528290090654,0.027815682325159866,2,Descriptive between-group max-minus-min span
