Outcome,Model,Evaluation_weighting,Reference,Status,Max_absolute_metric_difference,Tolerance,Abs_diff_AUROC,Abs_diff_AUPRC,Abs_diff_Recall,Abs_diff_Precision,Abs_diff_F1,Abs_diff_Specificity,Abs_diff_Brier
MEDNG,LR,Unweighted,Day8_10,PASS,1.1102230246251565e-16,1e-08,0.0,0.0,0.0,5.551115123125783e-17,0.0,1.1102230246251565e-16,6.938893903907228e-18
MEDNG,LR,WTFA_A,Day11_13_unweighted_training,PASS,1.6653345369377348e-16,1e-08,0.0,0.0,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,6.938893903907228e-17
MEDNG,RF,Unweighted,Day8_10,PASS,5.551115123125783e-17,1e-08,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0
MEDNG,RF,WTFA_A,Day11_13_unweighted_training,PASS,2.7755575615628914e-16,1e-08,0.0,0.0,0.0,2.7755575615628914e-16,2.7755575615628914e-16,0.0,6.938893903907228e-17
MEDNG,XGBoost,Unweighted,Day8_10,PASS,1.1102230246251565e-16,1e-08,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,5.551115123125783e-17
MEDNG,XGBoost,WTFA_A,Day11_13_unweighted_training,PASS,2.7755575615628914e-16,1e-08,0.0,0.0,1.1102230246251565e-16,1.6653345369377348e-16,2.7755575615628914e-16,0.0,6.938893903907228e-18
MEDDL,LR,Unweighted,Day8_10,PASS,5.551115123125783e-17,1e-08,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1.3877787807814457e-17
MEDDL,LR,WTFA_A,Day11_13_unweighted_training,PASS,1.6653345369377348e-16,1e-08,0.0,5.551115123125783e-17,1.6653345369377348e-16,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,1.3877787807814457e-17
MEDDL,RF,Unweighted,Day8_10,PASS,9.71445146547012e-17,1e-08,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,9.71445146547012e-17
MEDDL,RF,WTFA_A,Day11_13_unweighted_training,PASS,3.3306690738754696e-16,1e-08,0.0,5.551115123125783e-17,3.3306690738754696e-16,2.7755575615628914e-17,5.551115123125783e-17,0.0,8.326672684688674e-17
MEDDL,XGBoost,Unweighted,Day8_10,PASS,5.551115123125783e-17,1e-08,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,2.7755575615628914e-17
MEDDL,XGBoost,WTFA_A,Day11_13_unweighted_training,PASS,3.3306690738754696e-16,1e-08,0.0,5.551115123125783e-17,3.3306690738754696e-16,5.551115123125783e-17,1.6653345369377348e-16,0.0,6.938893903907228e-17
