Outcome,Model,Evaluation_weighting,Axis,Group,Metric,Point_estimate,CI95_lower,CI95_upper,Valid_replicates,Requested_replicates
MEDNG,LR,Unweighted,Race_ethnicity,Hispanic,AUROC,0.8088154508919536,0.7558772445970398,0.865362101284061,400,400
MEDNG,LR,Unweighted,Race_ethnicity,Hispanic,AUPRC,0.3638029734523118,0.26276553449023554,0.4868397067115686,400,400
MEDNG,LR,Unweighted,Race_ethnicity,Hispanic,Recall,0.6049382716049383,0.5124781976744186,0.7126847290640393,400,400
MEDNG,LR,Unweighted,Race_ethnicity,Hispanic,FNR,0.3950617283950617,0.2873152709359606,0.48752180232558134,400,400
MEDNG,LR,Unweighted,Race_ethnicity,Hispanic,FPR,0.16627634660421545,0.1413391829689298,0.18965589060179444,400,400
MEDNG,LR,Unweighted,Race_ethnicity,Hispanic,Brier,0.06660641609963934,0.054689025632344644,0.07966120295224205,400,400
MEDNG,LR,Unweighted,Race_ethnicity,Hispanic,Calibration_abs_error,0.011509738261728839,0.000910052430415095,0.02640631182739974,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,Hispanic,AUROC,0.8181354134445673,0.7612066455827612,0.8741105720730298,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,Hispanic,AUPRC,0.39887050472079794,0.2743984224645194,0.5329819971719606,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,Hispanic,Recall,0.6708407194042006,0.5666780936239738,0.7820846497270871,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,Hispanic,FNR,0.3291592805957995,0.2179153502729129,0.4333219063760261,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,Hispanic,FPR,0.17963204734341873,0.14679821830609302,0.21259837649098257,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,Hispanic,Brier,0.07246169104639391,0.058187127936399644,0.08901369960010753,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,Hispanic,Calibration_abs_error,0.007063651589692813,0.0003559314314830472,0.028699996756271894,400,400
MEDNG,LR,Unweighted,Race_ethnicity,NH White,AUROC,0.7953360822946083,0.7714417997464869,0.8220775475529289,400,400
MEDNG,LR,Unweighted,Race_ethnicity,NH White,AUPRC,0.2958220261969692,0.251560617343943,0.3464992474751244,400,400
MEDNG,LR,Unweighted,Race_ethnicity,NH White,Recall,0.3776978417266187,0.32340413943355123,0.4301480993340733,400,400
MEDNG,LR,Unweighted,Race_ethnicity,NH White,FNR,0.6223021582733813,0.5698519006659267,0.6765958605664487,400,400
MEDNG,LR,Unweighted,Race_ethnicity,NH White,FPR,0.06508577194752775,0.05686145196642294,0.07218441347801743,400,400
MEDNG,LR,Unweighted,Race_ethnicity,NH White,Brier,0.053843979077094824,0.04832252760250262,0.05947837048475549,400,400
MEDNG,LR,Unweighted,Race_ethnicity,NH White,Calibration_abs_error,0.004571174787342487,0.0003188477673737473,0.010384981972313839,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,NH White,AUROC,0.7943634602355492,0.7633241953196143,0.827474851368843,400,400
MEDNG,LR,WTFA_A,Race_ethnicity,NH White,AUPRC,0.3235964951293482,0.2562355470634874,0.39135777508519753,400,400
