Outcome,Model,Selected_probability,Locked_threshold,Split,Equity_domain,Axis,Group,Group_order,N,Positive_N,Negative_N,Eligible_for_comparison,Exclusion_reason,Evaluation_weighting,Weighted_denominator,Observed_prevalence,Mean_predicted_probability,Calibration_signed_error,Calibration_abs_error,Calibration_intercept,Calibration_slope,ECE_5bin,Predicted_positive_rate,AUROC,AUPRC,Recall,FNR,FPR,Specificity,Precision,F1,Brier
MEDNG,LR,Raw,0.1349999999999999,locked_test,Race/ethnicity,Race_ethnicity,Hispanic,1,935,81,854,True,,Unweighted,935.0,0.08663101604278074,0.09814075430450958,0.011509738261728839,0.011509738261728839,-0.059009436315941695,1.0589130721423872,0.012796341015755332,0.20427807486631017,0.8088154508919536,0.3638029734523118,0.6049382716049383,0.3950617283950617,0.16627634660421545,0.8337236533957846,0.25654450261780104,0.3602941176470588,0.06660641609963934
MEDNG,LR,Raw,0.1349999999999999,locked_test,Race/ethnicity,Race_ethnicity,Hispanic,1,935,81,854,True,,WTFA_A,9073456.936,0.09746459957188691,0.10452825116157972,0.007063651589692813,0.007063651589692813,0.07657806041715624,1.099911785217121,0.00992958826036185,0.22750750387206112,0.8181354134445673,0.39887050472079794,0.6708407194042006,0.3291592805957995,0.17963204734341873,0.8203679526565814,0.2873892991679748,0.4023928294172759,0.07246169104639391
MEDNG,LR,Raw,0.1349999999999999,locked_test,Race/ethnicity,Race_ethnicity,NH White,2,4242,278,3964,True,,Unweighted,4242.0,0.06553512494106553,0.060963950153723044,-0.004571174787342487,0.004571174787342487,0.12046958927821891,1.0134074617315956,0.008107401932353962,0.08557284299858557,0.7953360822946083,0.2958220261969692,0.3776978417266187,0.6223021582733813,0.06508577194752775,0.9349142280524723,0.2892561983471074,0.3276131045241809,0.053843979077094824
MEDNG,LR,Raw,0.1349999999999999,locked_test,Race/ethnicity,Race_ethnicity,NH White,2,4242,278,3964,True,,WTFA_A,30279142.281999998,0.06770372574980987,0.06505106998276192,-0.0026526557670479567,0.0026526557670479567,0.12157960942490575,1.0316018410683736,0.007007344511989198,0.09654177482225948,0.7943634602355492,0.3235964951293482,0.40643341018195495,0.5935665898180451,0.07403732117159251,0.9259626788284074,0.2850274525114127,0.3350722673397661,0.05425736779789394
MEDNG,LR,Raw,0.1349999999999999,locked_test,Race/ethnicity,Race_ethnicity,NH Black,3,670,46,624,True,,Unweighted,670.0,0.06865671641791045,0.07768667718483244,0.009029960766921988,0.009029960766921988,-0.7067479044568965,0.7349705727146122,0.022670239032419146,0.13432835820895522,0.7197603121516165,0.22712656926786876,0.4782608695652174,0.5217391304347826,0.10897435897435898,0.8910256410256411,0.24444444444444444,0.32352941176470584,0.060004942265926745
MEDNG,LR,Raw,0.1349999999999999,locked_test,Race/ethnicity,Race_ethnicity,NH Black,3,670,46,624,True,,WTFA_A,6129295.214,0.06195130855056251,0.08726271946218113,0.02531141091161862,0.02531141091161862,-0.9828811319462601,0.7111024238432908,0.03595626758393783,0.16019952893722703,0.7211787459514261,0.21613912016126074,0.5414458580943384,0.45855414190566146,0.13502097564178261,0.8649790243582173,0.20938438234340956,0.30198652228866923,0.056884194057348424
MEDNG,LR,Raw,0.1349999999999999,locked_test,Income/poverty,Poverty,<100% FPL,1,697,80,617,True,,Unweighted,697.0,0.11477761836441894,0.09531106928317615,-0.01946654908124279,0.01946654908124279,-0.4774896560327938,0.6366162057799956,0.0275460239748374,0.18651362984218078,0.7022183954619126,0.29081489828916063,0.4625,0.5375,0.1507293354943274,0.8492706645056726,0.2846153846153846,0.35238095238095235,0.09447436596534341
MEDNG,LR,Raw,0.1349999999999999,locked_test,Income/poverty,Poverty,<100% FPL,1,697,80,617,True,,WTFA_A,5201217.494,0.11443945608631761,0.10589156563511627,-0.008547890451201343,0.008547890451201343,-0.40961626788563316,0.714115611180517,0.02650237164891621,0.2127177950693865,0.7324062957294626,0.3138111367413718,0.5637515516183365,0.43624844838166366,0.16735431038898235,0.8326456896110174,0.3032911323379209,0.3944000672894466,0.09092158360177273
MEDNG,LR,Raw,0.1349999999999999,locked_test,Income/poverty,Poverty,100-199% FPL,2,1156,121,1035,True,,Unweighted,1156.0,0.1046712802768166,0.09948054549992229,-0.005190734776894315,0.005190734776894315,-0.2455698083925791,0.8275545679095556,0.017651203862882447,0.20069204152249134,0.7796782049746477,0.346944171179613,0.5371900826446281,0.4628099173553719,0.16135265700483092,0.8386473429951691,0.2801724137931034,0.3682719546742209,0.08192938826402298
MEDNG,LR,Raw,0.1349999999999999,locked_test,Income/poverty,Poverty,100-199% FPL,2,1156,121,1035,True,,WTFA_A,8601421.037999999,0.11857618927083152,0.1133112277921896,-0.005264961478641916,0.005264961478641916,-0.17513937219727063,0.8586698926319756,0.016621997161728658,0.23665184124893204,0.786945542585398,0.40423690814453456,0.5874898014065127,0.41251019859348714,0.18945430941390842,0.8105456905860914,0.2943661943157446,0.3922117395090314,0.08731571071557796
MEDNG,LR,Raw,0.1349999999999999,locked_test,Income/poverty,Poverty,>=200% FPL,3,4564,237,4327,True,,Unweighted,4564.0,0.051928133216476775,0.05585229044114081,0.003924157224664035,0.003924157224664035,0.24977236343934128,1.141710535409557,0.006554572105288054,0.07318141980718668,0.8098598828472773,0.28915798615056104,0.38396624472573837,0.6160337552742616,0.05615900161774902,0.943840998382251,0.27245508982035926,0.318739054290718,0.042820035555752596
MEDNG,LR,Raw,0.1349999999999999,locked_test,Income/poverty,Poverty,>=200% FPL,3,4564,237,4327,True,,WTFA_A,36447248.961,0.053208068627487205,0.06049037370525141,0.007282305077764208,0.007282305077764208,0.11940418296334593,1.1189764170150753,0.0073998592904046395,0.08966677645539184,0.7999786822710511,0.27802304447091625,0.42623739312650855,0.5737626068734915,0.07075209005341562,0.9292479099465842,0.2529283349040564,0.31747041897992173,0.044210344824711784
MEDNG,LR,Raw,0.1349999999999999,locked_test,Insurance,Insurance,Uninsured,1,471,122,349,True,,Unweighted,471.0,0.25902335456475584,0.23715894252522296,-0.021864412039532877,0.021864412039532877,0.04764333681866965,0.9138090014288037,0.027900559940241737,0.6518046709129511,0.7317393959321715,0.513065584557025,0.8442622950819673,0.1557377049180328,0.5845272206303725,0.4154727793696275,0.3355048859934853,0.48018648018648014,0.16520087614748638
MEDNG,LR,Raw,0.1349999999999999,locked_test,Insurance,Insurance,Uninsured,1,471,122,349,True,,WTFA_A,4739806.264,0.2565312791864777,0.2409444131342238,-0.015586866052253928,0.015586866052253928,0.07052694465577147,0.9709506709204514,0.015586866052253935,0.6610192586977011,0.7574544628117319,0.5184241656933047,0.8808703135345298,0.11912968646547012,0.5851604219384688,0.41483957806153116,0.34185204947523046,0.4925522442599901,0.16111119162319568
MEDNG,LR,Raw,0.1349999999999999,locked_test,Insurance,Insurance,Insured,2,5927,314,5613,True,,Unweighted,5927.0,0.05297789775603172,0.05433743977288711,0.0013595420168553904,0.0013595420168553904,-0.17039342941163835,0.9435562876549017,0.0020013476000324327,0.06478825712839548,0.7589586730531149,0.20396488591060685,0.28343949044585987,0.7165605095541401,0.05255656511669339,0.9474434348833066,0.23177083333333334,0.2550143266475645,0.046653777939554116
MEDNG,LR,Raw,0.1349999999999999,locked_test,Insurance,Insurance,Insured,2,5927,314,5613,True,,WTFA_A,45336881.842,0.050953311986709264,0.05660837954918418,0.005655067562474914,0.005655067562474914,-0.2814089316656104,0.9354672523593062,0.006731184710808255,0.07143713968435385,0.7490397465213012,0.1968416839359609,0.29695398281957336,0.7030460171804266,0.059329379116134395,0.9406706208838658,0.211805637783893,0.2472544013967228,0.04508245441900089
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Sex,Male,1,2958,179,2779,True,,Unweighted,2958.0,0.06051386071670047,0.059109156836268266,-0.0014047038804322065,0.0014047038804322065,0.04964076747034939,1.0089878572503634,0.006153262630977782,0.09026369168356999,0.7899539844926333,0.2868951783072135,0.41899441340782123,0.5810055865921788,0.06908960057574667,0.9309103994242534,0.2808988764044944,0.33632286995515703,0.04983020670322434
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Sex,Male,1,2958,179,2779,True,,WTFA_A,24662417.391999997,0.060919929223457216,0.06540774305419446,0.004487813830737243,0.004487813830737243,0.18356082008070423,1.1249627227355257,0.005741056854591801,0.11040307787845748,0.8124179110214489,0.34076769477818636,0.5160967560449605,0.4839032439550394,0.08408494918058164,0.9159150508194183,0.28477990337667686,0.3670327573927282,0.04798761229116536
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Sex,Female,2,3458,259,3199,True,,Unweighted,3458.0,0.07489878542510121,0.07556197984022157,0.0006631944151203606,0.0006631944151203606,-0.08898268631215295,0.9625687861365994,0.003718076389186744,0.12377096587622903,0.7947928949804536,0.30859133885632234,0.4555984555984556,0.5444015444015444,0.09690528290090654,0.9030947170990935,0.2757009345794392,0.3435225618631732,0.060309630148580595
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Sex,Female,2,3458,259,3199,True,,WTFA_A,25582858.346,0.08021008459052192,0.0827140278333731,0.002503943242851178,0.002503943242851178,-0.2292878309896433,0.905003359404607,0.009016216570988835,0.14394882601442363,0.7793543051526927,0.30407290905438983,0.48048160920245564,0.5195183907975441,0.11460155599681451,0.8853984440031856,0.26773035658142447,0.3438584744573503,0.0645591292410609
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Age,18-34,1,1295,114,1181,True,,Unweighted,1295.0,0.08803088803088803,0.1059039192156948,0.017873031184806765,0.017873031184806765,-0.3495935152594305,0.9392804057333635,0.0190844969729611,0.2023166023166023,0.7876316532228114,0.3480922694061638,0.5701754385964912,0.4298245614035088,0.1668077900084674,0.8331922099915327,0.2480916030534351,0.3457446808510638,0.06939773594942908
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Age,18-34,1,1295,114,1181,True,,WTFA_A,14117624.929,0.08234558247910229,0.10363924692537159,0.021293664446269303,0.021293664446269303,-0.35430153927538394,0.9715253744034225,0.02129366444626931,0.20085155507817076,0.7985737841990175,0.3470128800249038,0.5950776736104131,0.40492232638958714,0.16547573304844262,0.8345242669515572,0.2439713132153104,0.3460629445369908,0.06477602033350163
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Age,35-49,2,1422,131,1291,True,,Unweighted,1422.0,0.09212376933895922,0.08462458042791982,-0.0074991889110394006,0.0074991889110394006,0.14062469121736298,1.0154158312344286,0.007721578347040438,0.15541490857946555,0.7796695856812579,0.3668163425946563,0.5038167938931297,0.4961832061068702,0.12006196746707978,0.8799380325329202,0.2986425339366516,0.37499999999999994,0.07049675979542044
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Age,35-49,2,1422,131,1291,True,,WTFA_A,12564871.543,0.09079530054054291,0.0861200449020055,-0.004675255638537407,0.004675255638537407,0.16860861358946203,1.0506868203733175,0.006831276972892679,0.16133822316149085,0.7862338712563064,0.3875040718921604,0.5344169812074789,0.465583018792521,0.12408170877895774,0.8759182912210424,0.3007504946557783,0.3848956672659339,0.06840255502795523
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Age,50-64,3,1524,146,1378,True,,Unweighted,1524.0,0.09580052493438321,0.06903666830451634,-0.02676385662986687,0.02676385662986687,0.051470236585565085,0.8465464535283985,0.02676385662986687,0.10958005249343832,0.7464933296220451,0.2933561321538491,0.3767123287671233,0.6232876712328768,0.08127721335268505,0.918722786647315,0.32934131736526945,0.3514376996805112,0.07942271112384622
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Age,50-64,3,1524,146,1378,True,,WTFA_A,11722892.652,0.08642849338274397,0.06725570787833177,-0.019172785504412204,0.019172785504412204,0.05839130283948912,0.8915119209972606,0.020149285736706248,0.10797627877143849,0.7485819602295043,0.2884476247308694,0.4124134266957016,0.5875865733042983,0.07917498206477891,0.9208250179352211,0.330112053551828,0.3667016063973443,0.07147267454823641
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Age,65-74,4,1166,34,1132,True,,Unweighted,1166.0,0.029159519725557463,0.038437613302616185,0.009278093577058721,0.009278093577058721,0.11027773879334538,1.146204541581234,0.009278093577058725,0.02830188679245283,0.7871804198711286,0.12782691583197875,0.17647058823529413,0.8235294117647058,0.023851590106007067,0.976148409893993,0.18181818181818182,0.17910447761194032,0.027241283955449926
MEDNG,LR,Raw,0.1349999999999999,locked_test,Demographic (sex/age),Age,65-74,4,1166,34,1132,True,,WTFA_A,6372953.367000001,0.0290827058236028,0.03739474475788735,0.00831203893428455,0.00831203893428455,0.30568751834293967,1.2063464485320832,0.014608465457648384,0.029800684559128047,0.7986590413879748,0.15904343066600526,0.2070868083909933,0.7929131916090068,0.024490283542548546,0.9755097164574515,0.2020975295528674,0.2045617512591586,0.02657959333108354
MEDNG,RF,Raw,0.1099999999999999,locked_test,Race/ethnicity,Race_ethnicity,Hispanic,1,935,81,854,True,,Unweighted,935.0,0.08663101604278074,0.09659358788903806,0.009962571846257318,0.009962571846257318,1.2492114265987875,1.7422002553532498,0.030175828988315202,0.33689839572192515,0.8204672275710526,0.40168540363942007,0.7777777777777778,0.2222222222222222,0.29508196721311475,0.7049180327868853,0.2,0.3181818181818182,0.06769464001074443
MEDNG,RF,Raw,0.1099999999999999,locked_test,Race/ethnicity,Race_ethnicity,Hispanic,1,935,81,854,True,,WTFA_A,9073456.936,0.09746459957188691,0.10125211001701698,0.0037875104451300656,0.0037875104451300656,1.5221566201563592,1.868470075055106,0.03995294345377737,0.36800563991787927,0.828808186494288,0.4615145677068986,0.8020162739356084,0.19798372606439157,0.32113692691846274,0.6788630730815374,0.21241031796880647,0.3358676381757783,0.07351282801084892
