Outcome,Model,Evaluation_weighting,Selected_probability,Locked_threshold,Axis,Group,N,Positive_N,Negative_N,FN_weighted_count,FP_weighted_count,FNR,FPR,Share_of_all_FN,Share_of_all_FP,Eligibility_rule,Interpretation_boundary
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Race_ethnicity,Hispanic,935,81,854,32.0,142.0,0.3950617283950617,0.16627634660421545,0.1306122448979592,0.2823061630218688,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Race_ethnicity,NH White,4242,278,3964,173.0,258.0,0.6223021582733813,0.06508577194752775,0.7061224489795919,0.5129224652087475,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Race_ethnicity,NH Black,670,46,624,24.0,68.0,0.5217391304347826,0.10897435897435898,0.09795918367346938,0.13518886679920478,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Poverty,<100% FPL,697,80,617,43.0,93.0,0.5375,0.1507293354943274,0.17551020408163265,0.1848906560636183,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Poverty,100-199% FPL,1156,121,1035,56.0,167.0,0.4628099173553719,0.16135265700483092,0.22857142857142856,0.3320079522862823,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Poverty,>=200% FPL,4564,237,4327,146.0,243.0,0.6160337552742616,0.05615900161774902,0.5959183673469388,0.4831013916500994,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Insurance,Uninsured,471,122,349,19.0,204.0,0.1557377049180328,0.5845272206303725,0.07755102040816327,0.40556660039761433,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Insurance,Insured,5927,314,5613,225.0,295.0,0.7165605095541401,0.05255656511669339,0.9183673469387755,0.5864811133200796,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Sex,Male,2958,179,2779,104.0,192.0,0.5810055865921788,0.06908960057574667,0.42448979591836733,0.3817097415506958,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Sex,Female,3458,259,3199,141.0,310.0,0.5444015444015444,0.09690528290090654,0.5755102040816327,0.6163021868787276,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Age,18-34,1295,114,1181,49.0,197.0,0.4298245614035088,0.1668077900084674,0.2,0.39165009940357853,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Age,35-49,1422,131,1291,65.0,155.0,0.4961832061068702,0.12006196746707978,0.2653061224489796,0.3081510934393638,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Age,50-64,1524,146,1378,91.0,112.0,0.6232876712328768,0.08127721335268505,0.37142857142857144,0.22266401590457258,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,Age,65-74,1166,34,1132,28.0,27.0,0.8235294117647058,0.023851590106007067,0.11428571428571428,0.0536779324055666,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,WTFA_A,Raw,0.1349999999999999,Race_ethnicity,Hispanic,935,81,854,291088.997,1471027.689,0.3291592805957995,0.17963204734341873,0.16233972079697026,0.31643915406208245,PASS,Group-level aggregate; do not use for individual micro-targeting.
