Outcome,Model,Evaluation_weighting,Selected_probability,Locked_threshold,N,Positive_N,Negative_N,TN_weighted_count,FP_weighted_count,FN_weighted_count,TP_weighted_count,FNR,FPR,AUROC,AUPRC,Recall,Precision,F1,Specificity,Brier,Observed_prevalence,Mean_predicted_probability,Predicted_positive_rate,Interpretation
MEDNG,LR,Unweighted,Raw,0.1349999999999999,6417,438,5979,5476.0,503.0,245.0,193.0,0.5593607305936072,0.0841277805653119,0.7942410308224905,0.3007181583801104,0.4406392694063927,0.27729885057471265,0.3403880070546737,0.9158722194346881,0.055476024339646206,0.06825619448340346,0.06799769042568968,0.10846189808321646,Aggregate operating-point audit; not a clinical or individual risk rule.
MEDNG,LR,WTFA_A,Raw,0.1349999999999999,6417,438,5979,42046761.03999999,4648690.499,1793085.4849999999,1761350.469,0.5044641423295708,0.09955339001524444,0.79674374451312,0.3173907179532671,0.4955358576704292,0.2747799082397378,0.3535259267069433,0.9004466099847556,0.05642375949959117,0.07073520223294323,0.07423121798870914,0.12756328994553356,Aggregate operating-point audit; not a clinical or individual risk rule.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,6417,438,5979,5157.0,822.0,201.0,237.0,0.45890410958904104,0.13748118414450572,0.8061850418626533,0.30499003800077684,0.541095890410959,0.2237960339943343,0.31663326653306617,0.8625188158554943,0.05641130620673,0.06825619448340346,0.06763621488491223,0.16503038803179054,Aggregate operating-point audit; not a clinical or individual risk rule.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,6417,438,5979,39257095.825,7438355.714,1481375.114,2073060.8399999999,0.4167679860240352,0.15929508054521102,0.8064529218651224,0.3277842756105703,0.5832320139759648,0.21795500472831042,0.31732500251792983,0.840704919454789,0.05764761888289977,0.07073520223294323,0.07279130728004893,0.18928234526544913,Aggregate operating-point audit; not a clinical or individual risk rule.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,6417,438,5979,5601.0,378.0,263.0,175.0,0.6004566210045662,0.0632212744606121,0.808325524419181,0.3049280111390447,0.3995433789954338,0.31645569620253167,0.35317860746720486,0.9367787255393879,0.05526331901402843,0.06825619448340346,0.06828712288989298,0.08617734143680848,Aggregate operating-point audit; not a clinical or individual risk rule.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,6417,438,5979,43237446.675000004,3458004.864,1997777.6239999998,1556658.33,0.5620519401261942,0.07405442607428003,0.80905152157792,0.3151669116424983,0.4379480598738058,0.31042131241486526,0.3633190147795919,0.92594557392572,0.05669796127348241,0.07073520223294323,0.0735903569626868,0.09979451585237005,Aggregate operating-point audit; not a clinical or individual risk rule.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,6419,523,5896,5432.0,464.0,299.0,224.0,0.5717017208413002,0.07869742198100405,0.7844607680353665,0.3167882812401599,0.42829827915869984,0.32558139534883723,0.36994219653179194,0.921302578018996,0.06514695179923942,0.08147686555538246,0.08170657239235694,0.10718180401931765,Aggregate operating-point audit; not a clinical or individual risk rule.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,6419,523,5896,41666872.725,4139409.4710000004,2388672.384,2075229.482,0.5351086237342477,0.09036772408832328,0.7803025392116243,0.33654982288707114,0.46489137626575233,0.33392599275589807,0.3886728565587552,0.9096322759116767,0.06977604686415412,0.08879820015169453,0.0874931155447167,0.12362475031591819,Aggregate operating-point audit; not a clinical or individual risk rule.
MEDDL,RF,Unweighted,Platt,0.0799999999999999,6419,523,5896,4543.0,1353.0,171.0,352.0,0.32695984703632885,0.22947761194029848,0.7967178383244564,0.3106561299405058,0.6730401529636711,0.2064516129032258,0.31597845601436264,0.7705223880597015,0.06523875118375158,0.08147686555538246,0.08114703632878394,0.26561769746066366,Aggregate operating-point audit; not a clinical or individual risk rule.
MEDDL,RF,WTFA_A,Platt,0.0799999999999999,6419,523,5896,34120443.603,11685838.593,1345795.315,3118106.551,0.3014840727683685,0.2551143212845258,0.795102654229988,0.33856704548048844,0.6985159272316315,0.21062672960955683,0.32365905224197644,0.7448856787154742,0.06968133673874348,0.08879820015169453,0.08842404741132917,0.2944875858369997,Aggregate operating-point audit; not a clinical or individual risk rule.
MEDDL,XGBoost,Unweighted,Platt,0.1399999999999999,6419,523,5896,5217.0,679.0,251.0,272.0,0.4799235181644359,0.11516282225237451,0.803648680377013,0.31516343360512417,0.5200764818355641,0.28601472134595163,0.36906377204884666,0.8848371777476255,0.06491495979853423,0.08147686555538246,0.08113879868972727,0.14815391805577194,Aggregate operating-point audit; not a clinical or individual risk rule.
MEDDL,XGBoost,WTFA_A,Platt,0.1399999999999999,6419,523,5896,40051474.018,5754808.178,2086494.6770000004,2377407.1890000002,0.4674149969317448,0.12563360094093246,0.8016429683496495,0.32930025115608813,0.5325850030682552,0.29234434673820414,0.37748254402897075,0.8743663990590675,0.06993301417316877,0.08879820015169453,0.08560433983999247,0.16177015299904712,Aggregate operating-point audit; not a clinical or individual risk rule.
