Outcome,Model,Evaluation_weighting,Seed,Selected_probability,Locked_threshold,AUROC,AUPRC,Recall,Precision,F1,Specificity,Brier,Observed_prevalence,Mean_predicted_probability,Predicted_positive_rate,Decision_rule
MEDNG,LR,Unweighted,2026,Raw,0.1349999999999999,0.7942410308224905,0.3007181583801104,0.4406392694063927,0.27729885057471265,0.3403880070546737,0.9158722194346881,0.055476024339646206,0.06825619448340346,0.06799769042568968,0.10846189808321646,Robustness range only; no seed chosen from test performance.
MEDNG,LR,WTFA_A,2026,Raw,0.1349999999999999,0.79674374451312,0.3173907179532671,0.4955358576704292,0.2747799082397378,0.3535259267069433,0.9004466099847556,0.05642375949959117,0.07073520223294323,0.07423121798870914,0.12756328994553356,Robustness range only; no seed chosen from test performance.
MEDNG,LR,Unweighted,2037,Raw,0.1349999999999999,0.7942410308224905,0.3007181583801104,0.4406392694063927,0.27729885057471265,0.3403880070546737,0.9158722194346881,0.055476024339646206,0.06825619448340346,0.06799769042568968,0.10846189808321646,Robustness range only; no seed chosen from test performance.
MEDNG,LR,WTFA_A,2037,Raw,0.1349999999999999,0.79674374451312,0.3173907179532671,0.4955358576704292,0.2747799082397378,0.3535259267069433,0.9004466099847556,0.05642375949959117,0.07073520223294323,0.07423121798870914,0.12756328994553356,Robustness range only; no seed chosen from test performance.
MEDNG,LR,Unweighted,2048,Raw,0.1349999999999999,0.7942410308224905,0.3007181583801104,0.4406392694063927,0.27729885057471265,0.3403880070546737,0.9158722194346881,0.055476024339646206,0.06825619448340346,0.06799769042568968,0.10846189808321646,Robustness range only; no seed chosen from test performance.
MEDNG,LR,WTFA_A,2048,Raw,0.1349999999999999,0.79674374451312,0.3173907179532671,0.4955358576704292,0.2747799082397378,0.3535259267069433,0.9004466099847556,0.05642375949959117,0.07073520223294323,0.07423121798870914,0.12756328994553356,Robustness range only; no seed chosen from test performance.
MEDNG,RF,Unweighted,2026,Raw,0.1099999999999999,0.8061850418626533,0.30499003800077684,0.541095890410959,0.2237960339943343,0.31663326653306617,0.8625188158554943,0.05641130620673,0.06825619448340346,0.06763621488491223,0.16503038803179054,Robustness range only; no seed chosen from test performance.
MEDNG,RF,WTFA_A,2026,Raw,0.1099999999999999,0.8064529218651224,0.3277842756105703,0.5832320139759648,0.21795500472831042,0.31732500251792983,0.840704919454789,0.05764761888289977,0.07073520223294323,0.07279130728004893,0.18928234526544913,Robustness range only; no seed chosen from test performance.
MEDNG,RF,Unweighted,2037,Raw,0.1099999999999999,0.8060231357697145,0.30521380320944214,0.54337899543379,0.2262357414448669,0.3194630872483222,0.863856832246195,0.05641064027230362,0.06825619448340346,0.06782070796847159,0.16393953560853983,Robustness range only; no seed chosen from test performance.
MEDNG,RF,WTFA_A,2037,Raw,0.1099999999999999,0.8068667612209391,0.3278958072801355,0.5875272482121645,0.2202346582252545,0.32037624373427925,0.8416557160642386,0.05765991938023946,0.07073520223294323,0.07311422831704466,0.18870262770878676,Robustness range only; no seed chosen from test performance.
