Outcome,Model,Evaluation_weighting,Selected_probability,Locked_threshold,Threshold_factor,Evaluated_threshold,AUROC,AUPRC,Recall,Precision,F1,Specificity,Brier,Observed_prevalence,Mean_predicted_probability,Predicted_positive_rate,Decision_rule
MEDNG,LR,Unweighted,Raw,0.1349999999999999,0.8,0.10799999999999993,0.7942410308224905,0.3007181583801104,0.4977168949771689,0.23903508771929824,0.32296296296296295,0.8839270781067068,0.055476024339646206,0.06825619448340346,0.06799769042568968,0.14212248714352502,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,LR,WTFA_A,Raw,0.1349999999999999,0.8,0.10799999999999993,0.79674374451312,0.3173907179532671,0.5406582762695068,0.23304767744775154,0.32570294947881007,0.8645613684082721,0.05642375949959117,0.07073520223294323,0.07423121798870914,0.1641019251067719,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,1.0,0.1349999999999999,0.7942410308224905,0.3007181583801104,0.4406392694063927,0.27729885057471265,0.3403880070546737,0.9158722194346881,0.055476024339646206,0.06825619448340346,0.06799769042568968,0.10846189808321646,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,LR,WTFA_A,Raw,0.1349999999999999,1.0,0.1349999999999999,0.79674374451312,0.3173907179532671,0.4955358576704292,0.2747799082397378,0.3535259267069433,0.9004466099847556,0.05642375949959117,0.07073520223294323,0.07423121798870914,0.12756328994553356,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,LR,Unweighted,Raw,0.1349999999999999,1.2,0.16199999999999987,0.7942410308224905,0.3007181583801104,0.3904109589041096,0.30319148936170215,0.3413173652694611,0.9342699448068239,0.055476024339646206,0.06825619448340346,0.06799769042568968,0.08789153810191679,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,LR,WTFA_A,Raw,0.1349999999999999,1.2,0.16199999999999987,0.79674374451312,0.3173907179532671,0.4455245280810031,0.3024686782746721,0.36031668203021133,0.9217920255477154,0.05642375949959117,0.07073520223294323,0.07423121798870914,0.10419018515671964,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,0.8,0.08799999999999993,0.8061850418626533,0.30499003800077684,0.5662100456621004,0.20064724919093851,0.2962962962962963,0.8347549757484529,0.05641130620673,0.06825619448340346,0.06763621488491223,0.19261337073398785,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,0.8,0.08799999999999993,0.8064529218651224,0.3277842756105703,0.6053695474744796,0.19641156425335018,0.29659361646615406,0.8114687668530781,0.05764761888289977,0.07073520223294323,0.07279130728004893,0.21801637560932077,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,1.0,0.1099999999999999,0.8061850418626533,0.30499003800077684,0.541095890410959,0.2237960339943343,0.31663326653306617,0.8625188158554943,0.05641130620673,0.06825619448340346,0.06763621488491223,0.16503038803179054,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,1.0,0.1099999999999999,0.8064529218651224,0.3277842756105703,0.5832320139759648,0.21795500472831042,0.31732500251792983,0.840704919454789,0.05764761888289977,0.07073520223294323,0.07279130728004893,0.18928234526544913,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,1.2,0.13199999999999987,0.8061850418626533,0.30499003800077684,0.4771689497716895,0.25612745098039214,0.3333333333333333,0.8984780063555778,0.05641130620673,0.06825619448340346,0.06763621488491223,0.12716222533894342,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,1.2,0.13199999999999987,0.8064529218651224,0.3277842756105703,0.5177355723427954,0.2439544779266306,0.33164122653369454,0.8778641187089344,0.05764761888289977,0.07073520223294323,0.07279130728004893,0.15011870544089936,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,0.8,0.1479999999999999,0.808325524419181,0.3049280111390447,0.4474885844748858,0.2699724517906336,0.33676975945017185,0.9113564141160729,0.05526331901402843,0.06825619448340346,0.06828712288989298,0.1131369798971482,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,0.8,0.1479999999999999,0.80905152157792,0.3151669116424983,0.47865574201312505,0.2622818958163254,0.33887530892976425,0.8975194342214838,0.05669796127348241,0.07073520223294323,0.0735903569626868,0.1290893929444842,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,1.0,0.1849999999999999,0.808325524419181,0.3049280111390447,0.3995433789954338,0.31645569620253167,0.35317860746720486,0.9367787255393879,0.05526331901402843,0.06825619448340346,0.06828712288989298,0.08617734143680848,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,1.0,0.1849999999999999,0.80905152157792,0.3151669116424983,0.4379480598738058,0.31042131241486526,0.3633190147795919,0.92594557392572,0.05669796127348241,0.07073520223294323,0.0735903569626868,0.09979451585237005,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,1.2,0.22199999999999986,0.808325524419181,0.3049280111390447,0.3356164383561644,0.3491686460807601,0.34225844004656575,0.9541729386184981,0.05526331901402843,0.06825619448340346,0.06828712288989298,0.0656069814555088,Prespecified perturbation only; never used to replace the locked threshold.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,1.2,0.22199999999999986,0.80905152157792,0.3151669116424983,0.3652768891612444,0.3548396865478465,0.3599826506576889,0.9494462045617353,0.05669796127348241,0.07073520223294323,0.0735903569626868,0.07281579712013704,Prespecified perturbation only; never used to replace the locked threshold.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,0.8,0.12799999999999992,0.7844607680353665,0.3167882812401599,0.5105162523900574,0.2810526315789474,0.36252545824847254,0.8841587516960652,0.06514695179923942,0.08147686555538246,0.08170657239235694,0.14799813054992988,Prespecified perturbation only; never used to replace the locked threshold.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,0.8,0.12799999999999992,0.7803025392116243,0.33654982288707114,0.5385464069697807,0.2822331563857235,0.370368998170189,0.8665286396123655,0.06977604686415412,0.08879820015169453,0.0874931155447167,0.16944129545049286,Prespecified perturbation only; never used to replace the locked threshold.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,1.0,0.1599999999999999,0.7844607680353665,0.3167882812401599,0.42829827915869984,0.32558139534883723,0.36994219653179194,0.921302578018996,0.06514695179923942,0.08147686555538246,0.08170657239235694,0.10718180401931765,Prespecified perturbation only; never used to replace the locked threshold.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,1.0,0.1599999999999999,0.7803025392116243,0.33654982288707114,0.46489137626575233,0.33392599275589807,0.3886728565587552,0.9096322759116767,0.06977604686415412,0.08879820015169453,0.0874931155447167,0.12362475031591819,Prespecified perturbation only; never used to replace the locked threshold.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,1.2,0.19199999999999987,0.7844607680353665,0.3167882812401599,0.35181644359464626,0.3458646616541353,0.3488151658767772,0.9409769335142469,0.06514695179923942,0.08147686555538246,0.08170657239235694,0.08287895310796074,Prespecified perturbation only; never used to replace the locked threshold.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,1.2,0.19199999999999987,0.7803025392116243,0.33654982288707114,0.38260042184359255,0.35474757773861176,0.36814793819930564,0.9321819585202817,0.06977604686415412,0.08879820015169453,0.0874931155447167,0.09577015029549624,Prespecified perturbation only; never used to replace the locked threshold.
MEDDL,RF,Unweighted,Platt,0.0799999999999999,0.8,0.06399999999999993,0.7967178383244564,0.3106561299405058,0.7839388145315488,0.16886326194398682,0.277871907827855,0.6577340569877883,0.06523875118375158,0.08147686555538246,0.08114703632878394,0.3782520641844524,Prespecified perturbation only; never used to replace the locked threshold.
