Outcome,Variable,Cohort_N,Missing_or_indeterminate_N,Missing_or_indeterminate_pct,Train_N,Train_missing_N,Train_missing_pct
MEDNG,AGEP_A,32354,46,0.0014217716511096,22711,27,0.0011888512174717098
MEDNG,SEX_A,32354,5,0.00015454039685973913,22711,4,0.00017612610629210514
MEDNG,HISPALLP_A,32354,0,0.0,22711,0,0.0
MEDNG,EDUCP_A,32354,141,0.004358039191444643,22711,98,0.004315089604156576
MEDNG,RATCAT_A,32354,0,0.0,22711,0,0.0
MEDNG,EMPWRKLSW1_A,32354,962,0.02973357235581381,22711,679,0.02989740654308485
MEDNG,NOTCOV_A,32354,79,0.002441738270383878,22711,52,0.0022896393817973667
MEDNG,FDSCAT3_A,32354,1092,0.03375162267416703,22711,756,0.03328783408920787
MEDNG,PHSTAT_A,32354,16,0.0004945292699511652,22711,10,0.00044031526573026287
MEDNG,DISAB3_A,32354,1,0.000030908079371947826,22711,1,0.000044031526573026284
MEDNG,K6SPD_A,32354,548,0.01693762749582741,22711,367,0.016159570252300647
MEDNG,CHRONIC_BURDEN_CAT,32354,222,0.006861593620572417,22711,158,0.006956981198538153
MEDDL,AGEP_A,32355,47,0.0014526348323288518,22711,28,0.001232882744044736
MEDDL,SEX_A,32355,5,0.00015453562046051616,22711,4,0.00017612610629210514
MEDDL,HISPALLP_A,32355,0,0.0,22711,0,0.0
MEDDL,EDUCP_A,32355,141,0.004357904496986555,22711,98,0.004315089604156576
MEDDL,RATCAT_A,32355,0,0.0,22711,0,0.0
MEDDL,EMPWRKLSW1_A,32355,966,0.02985628187297172,22711,682,0.030029501122803927
MEDDL,NOTCOV_A,32355,78,0.002410755679184052,22711,51,0.0022456078552243407
MEDDL,FDSCAT3_A,32355,1097,0.033905115129037246,22711,760,0.03346396019549998
MEDDL,PHSTAT_A,32355,16,0.0004945139854736517,22711,10,0.00044031526573026287
MEDDL,DISAB3_A,32355,1,0.00003090712409210323,22711,1,0.000044031526573026284
MEDDL,K6SPD_A,32355,554,0.01712254674702519,22711,372,0.016379727885165778
MEDDL,CHRONIC_BURDEN_CAT,32355,222,0.006861381548446917,22711,158,0.006956981198538153
