Outcome,Model,Probability_version,bin,N,mean_predicted,fraction_positive
MEDNG,LR,Raw,1,642,0.010257296645117655,0.006230529595015576
MEDNG,LR,Raw,2,642,0.01681574984170623,0.017133956386292833
MEDNG,LR,Raw,3,641,0.022021318689668647,0.0249609984399376
MEDNG,LR,Raw,4,642,0.027225910887423224,0.017133956386292833
MEDNG,LR,Raw,5,644,0.03333700384799571,0.03260869565217391
MEDNG,LR,Raw,6,639,0.04110416862163111,0.0406885758998435
MEDNG,LR,Raw,7,642,0.05208533828004155,0.059190031152647975
MEDNG,LR,Raw,8,641,0.0695203331815731,0.0717628705148206
MEDNG,LR,Raw,9,642,0.10669106120586462,0.12461059190031153
MEDNG,LR,Raw,10,642,0.30083178704148716,0.2881619937694704
MEDNG,LR,Platt,1,642,0.009198796674989277,0.006230529595015576
MEDNG,LR,Platt,2,642,0.01584928467843788,0.017133956386292833
MEDNG,LR,Platt,3,641,0.021362067591433356,0.0249609984399376
MEDNG,LR,Platt,4,642,0.027016226324483868,0.017133956386292833
MEDNG,LR,Platt,5,644,0.033801488324958454,0.03260869565217391
MEDNG,LR,Platt,6,639,0.04261195904116622,0.0406885758998435
MEDNG,LR,Platt,7,642,0.05534311048395878,0.059190031152647975
MEDNG,LR,Platt,8,641,0.07606908520091912,0.0717628705148206
MEDNG,LR,Platt,9,642,0.12159434752086828,0.12461059190031153
MEDNG,LR,Platt,10,642,0.3561081841500565,0.2881619937694704
MEDNG,RF,Raw,1,642,0.021585296524957814,0.004672897196261682
MEDNG,RF,Raw,2,642,0.027955805757802012,0.00778816199376947
MEDNG,RF,Raw,3,641,0.03383854472050391,0.014040561622464899
MEDNG,RF,Raw,4,642,0.039404103590337095,0.024922118380062305
MEDNG,RF,Raw,5,642,0.043999838984954256,0.03582554517133956
MEDNG,RF,Raw,6,641,0.049585867140180664,0.0452418096723869
MEDNG,RF,Raw,7,642,0.05666430784399212,0.05451713395638629
MEDNG,RF,Raw,8,641,0.06942871780126518,0.09828393135725429
MEDNG,RF,Raw,9,642,0.11791090522383676,0.10124610591900311
MEDNG,RF,Raw,10,642,0.21591079316940326,0.29595015576323985
MEDNG,RF,Platt,1,642,0.010302494275731794,0.004672897196261682
MEDNG,RF,Platt,2,642,0.01544190194700428,0.00778816199376947
MEDNG,RF,Platt,3,641,0.020926559658464648,0.014040561622464899
MEDNG,RF,Platt,4,642,0.026654002857301608,0.024922118380062305
MEDNG,RF,Platt,5,642,0.03176518669905409,0.03582554517133956
MEDNG,RF,Platt,6,641,0.03843069103114137,0.0452418096723869
MEDNG,RF,Platt,7,642,0.04750601160564685,0.05451713395638629
MEDNG,RF,Platt,8,641,0.06568712414025332,0.09828393135725429
MEDNG,RF,Platt,9,642,0.1502354692107986,0.10124610591900311
MEDNG,RF,Platt,10,642,0.34922131522122946,0.29595015576323985
MEDNG,XGBoost,Raw,1,642,0.004949802532792091,0.001557632398753894
MEDNG,XGBoost,Raw,2,642,0.010420229285955429,0.012461059190031152
MEDNG,XGBoost,Raw,3,641,0.016242332756519318,0.0124804992199688
MEDNG,XGBoost,Raw,4,642,0.022910378873348236,0.020249221183800622
MEDNG,XGBoost,Raw,5,642,0.03032982535660267,0.03115264797507788
MEDNG,XGBoost,Raw,6,641,0.04018619284033775,0.0499219968798752
MEDNG,XGBoost,Raw,7,642,0.053437598049640656,0.06074766355140187
MEDNG,XGBoost,Raw,8,641,0.07391156256198883,0.09204368174726989
MEDNG,XGBoost,Raw,9,642,0.12049520760774612,0.11059190031152648
MEDNG,XGBoost,Raw,10,642,0.309872031211853,0.29127725856697817
MEDNG,XGBoost,Platt,1,642,0.004959557530958486,0.001557632398753894
MEDNG,XGBoost,Platt,2,642,0.01071298491114224,0.012461059190031152
MEDNG,XGBoost,Platt,3,641,0.016971083360775383,0.0124804992199688
MEDNG,XGBoost,Platt,4,642,0.024238412630579385,0.020249221183800622
MEDNG,XGBoost,Platt,5,642,0.0324099495175023,0.03115264797507788
MEDNG,XGBoost,Platt,6,641,0.04336358168202103,0.0499219968798752
MEDNG,XGBoost,Platt,7,642,0.05821078403355679,0.06074766355140187
MEDNG,XGBoost,Platt,8,641,0.08132436295015619,0.09204368174726989
MEDNG,XGBoost,Platt,9,642,0.13423567142986464,0.11059190031152648
MEDNG,XGBoost,Platt,10,642,0.3438379692208059,0.29127725856697817
