Outcome,Model,Selected_probability,Threshold_probability,Net_benefit_model,Net_benefit_treat_all,Net_benefit_treat_none,TP,FP
MEDNG,LR,Raw,0.05,0.0351943439711949,0.0192170468246352,0.0,331,1998
MEDNG,LR,Raw,0.10,0.0221633508216023,-0.0352708950184405,0.0,228,772
MEDNG,LR,Raw,0.15,0.0158219435506788,-0.0961691829607018,0.0,179,439
MEDNG,LR,Raw,0.20,0.0113370733987844,-0.1646797568957456,0.0,146,293
MEDNG,LR,Raw,0.25,0.008363201911589,-0.2423250740221286,0.0,120,199
MEDNG,LR,Raw,0.30,0.0073020325474743,-0.3310625793094236,0.0,106,138
MEDNG,RF,Raw,0.05,0.0373022317364238,0.0192170468246352,0.0,369,2463
MEDNG,RF,Raw,0.10,0.0225096531781898,-0.0352708950184405,0.0,244,896
MEDNG,RF,Raw,0.15,0.0171236329969107,-0.0961691829607018,0.0,190,454
MEDNG,RF,Raw,0.20,0.0113370733987844,-0.1646797568957456,0.0,121,193
MEDNG,RF,Raw,0.25,0.0076359669627551,-0.2423250740221286,0.0,76,81
MEDNG,RF,Raw,0.30,0.005187114584029,-0.3310625793094236,0.0,47,32
MEDNG,XGBoost,Raw,0.05,0.0362195812110922,0.0192170468246352,0.0,340,2044
MEDNG,XGBoost,Raw,0.10,0.0221460357037729,-0.0352708950184405,0.0,243,908
MEDNG,XGBoost,Raw,0.15,0.0161886166341244,-0.0961691829607018,0.0,196,522
MEDNG,XGBoost,Raw,0.20,0.0125448028673835,-0.1646797568957456,0.0,163,330
MEDNG,XGBoost,Raw,0.25,0.009194327567399,-0.2423250740221286,0.0,133,222
MEDNG,XGBoost,Raw,0.30,0.0062334424185756,-0.3310625793094236,0.0,106,154
MEDDL,LR,Platt,0.05,0.0459081181689228,0.0331335426898762,0.0,446,2875
MEDDL,LR,Platt,0.10,0.0327846151183119,-0.0205812604940194,0.0,329,1067
MEDDL,LR,Platt,0.15,0.0221493177423641,-0.0806154522877853,0.0,235,526
MEDDL,LR,Platt,0.20,0.014877706807914,-0.1481539180557718,0.0,178,330
MEDDL,LR,Platt,0.25,0.0115802046009243,-0.2246975125928233,0.0,144,209
MEDDL,LR,Platt,0.30,0.0083902699574922,-0.3121759063494536,0.0,116,145
MEDDL,RF,Platt,0.05,0.0473020063790884,0.0331335426898762,0.0,453,2838
MEDDL,RF,Platt,0.10,0.0309497844939502,-0.0205812604940194,0.0,308,984
MEDDL,RF,Platt,0.15,0.0217735949341568,-0.0806154522877853,0.0,252,636
MEDDL,RF,Platt,0.20,0.0164355818663343,-0.1481539180557718,0.0,209,414
MEDDL,RF,Platt,0.25,0.0113724879264682,-0.2246975125928233,0.0,161,264
MEDDL,RF,Platt,0.30,0.0075223109963723,-0.3121759063494536,0.0,125,179
MEDDL,XGBoost,Platt,0.05,0.0490320676281762,0.0331335426898762,0.0,464,2836
MEDDL,XGBoost,Platt,0.10,0.0318498900832597,-0.0205812604940194,0.0,336,1184
MEDDL,XGBoost,Platt,0.15,0.023423109701896,-0.0806154522877853,0.0,258,610
MEDDL,XGBoost,Platt,0.20,0.0151503349431375,-0.1481539180557718,0.0,190,371
MEDDL,XGBoost,Platt,0.25,0.010281975385574,-0.2246975125928233,0.0,143,231
MEDDL,XGBoost,Platt,0.30,0.0073442681325529,-0.3121759063494536,0.0,114,156
